,question,category,answer,choices/0,choices/1,choices/2,choices/3
35,Water is most often considered this color.,rated,blue,orange,brown,yellow,blue
36,A ready to eat banana is this color.,rated,yellow,brown,black,yellow,green
37,Grass under normal weather conditions is this color.,rated,green,tan,orange,yellow,green
38,What color is Barney the dinosaur from the childrens program?,rated,purple,purple,yellow,green,white
39,Clouds that are not storm clouds are usually this color.,rated,white,white,orange,red,black
40,Black is the most popular color of dress shoes for men and boys. What is the second most popular color?,rated,brown,red,brown,blue,green
41,This color is usually associated with girls.,rated,pink,yellow,brown,red,pink
42,This color is neither white nor black but somewhere in between.,rated,gray,orange,gray,green,brown
43,What year did the thriller Fatal Attraction first hit the movie theatres in the United States?,rated,1987,1984,1987,1988,1991
44,What does Dan Gallagher do for a living in the hit movie Fatal Attraction?,rated,Attorney,Car Salesman,Tax Preparer,Mgr. of Home Depot,Attorney
45,How does Dan Gallagher meet Alex Forrest in the great movie Fatal Attraction?,rated,He meets her through work.,He meets her through work.,He meets at the supermarket.,He meets her at the Department of Motor Vehicles.,He meets her at the gym.
46,"In the movie Fatal Attraction, what is the name of Alex Forrests favorite opera of all time?",rated,Madame Butterfly,The Merry Widow,Madame Butterfly,Porgy  Bess,Swan Lake
47,"In the movie Fatal Attraction, Alex kills Dans daughters pet by boiling it in water. She leaves it on the stove for Dan and the family to see. What kind of pet was it?",rated,Rabbit,Cat,Fish,Rabbit,Hamster
49,"In the thriller Fatal Attraction, while Beth is in the bathroom, she looks in the mirror and sees a reflection of Alex Forrest. At this point, Alex comes charging towards her with a weapon. What type of weapon is Alex holding in her hand?",rated,knife,axe,knife,hammer,gun
50,In what city is the movie Fatal Attraction set?,rated,New York,Los Angeles,Coplay,Chicago,New York
52,What year did the sensational movie A League of Their Own first hit the movie theatres?,rated,1992,1988,1992,1994,1990
53,What role did Geena Davis play in the movie A League of Their Own?,rated,Dottie Hinson,Dottie Hinson,Vada Pinson,Bobbi Stinson,Dorothy Hansen
54,What was the name of the former major league baseball great who managed the Rockford Peaches in the movie A League of Their Own?,rated,Jimmy Dugan,Billy McIntyre,Jackie Coogan,Honus Wagner,Jimmy Dugan
56,What was the name of Dottie Hinsons sister and teammate who also played ball in the movie A League of Their Own?,rated,Kit,Kat,Kit,Millie,Pat
57,Why was the All American Girls Professional Baseball League (AAGPBL) created in the first place in the great movie A League of Their Own?,rated,World War ll was going to shut down Major League Baseball due to the fact that many of the players were in the military.,The women were bored and wanted to play ball.,JustSomeGuy was bored and felt like starting his own Baseball League.,World War ll was going to shut down Major League Baseball due to the fact that many of the players were in the military.,The powerful Womens Lib Movement struck a deal with Major League Baseball.
58,"Who provided the vocals for the song Now and Forever, that was featured in the movie A League of Their Own?",rated,Carole King,Cyndi Lauper,Carly Simon,Carole King,Judy Collins
59,What was the nickname of Betty Horn who played left field for the Rockford Peaches in the movie A League of Their Own?,rated,Betty Spaghetti,Betty Machete,Betty Shoe Horn,Betty Spaghetti,Betty Confetti
60,"In the movie A League of Their Own, there was an obnoxious little kid who used to go to all of his mothers baseball games. He always sat in the dugout and bothered all of the players. What was the name of this kid?",rated,Stillwell,T.J.,Anthony,Harvey,Stillwell
61,"Which of these appetizing bands had a 1971 hit with Baby, Im- a Want You?",rated,Bread,Strawberry Alarm Clock,Hot Chocolate,Bread,Vanilla Fudge
62,Papa John Creach played the fiddle for which  edible 60s band?,rated,Hot Tuna,Humble Pie,Canned Heat,Hot Chocolate,Hot Tuna
63,What year did the movie The Wedding Singer first hit the movie theatres in the United States?,rated,1998,1998,2000,1994,1997
64,What is the name of Robbies girlfriend/fiance in the hit movie The Wedding Singer?,rated,Linda,Lucy,Linda,Christina,Olivia
65,"What is the name of the waitress, played by Drew Barrymore in the comedy movie The Wedding Singer?",rated,Julia Sullivan,Christina Pickles,Julia Sullivan,Cindy Licious,Rhonda Relish
67,What is the name of the 80s music icon that appears in the great movie The Wedding Singer?,rated,Billy Idol,Billy Idol,Jon Bon Jovi,Sting,Boy George
68,What was the name of Robbies best friend in the movie The Wedding Singer?,rated,Sammy,Junior,Sammy,Davis,Allen
69,"The movie The Wedding Singer takes place in the 80s, but what year is actually depicted in this great romantic comedy?",rated,1985,1983,1987,1982,1985
70,What actor played the role of the drunk best man in the movie The Wedding Singer?,rated,Steve Buscemi,Allen Covert,Alexis Arquette,Matthew Glave,Steve Buscemi
71,"If Julia would have married her fiance Glen in the movie The Wedding Singer, what would her name have become?",rated,Julia Gulia,Julia Gulia,Julia Schumilia,Julia OToolia,Julia Bulia
73,"In this movie, Al Pacino played a junkie named Bobby.",rated,The Panic In Needle Park,Scarface,The Panic In Needle Park,Bobby Deerfield,Dog Day Afternoon
74,"This movie is about an undercover cop who exposes the NYC Police Department for corruption, a move that isolates him from the force. What is the name of this Al Pacino movie?",rated,Serpico,Revolution,N.Y.P.D,Serpico,And Justice for All
75,What Francis Ford Coppola movie earned Al Pacino his first Academy Award nomination?,rated,The Godfather,Out of It,The Godfather,Serpico,Scarface
76,"In this movie, Al Pacino plays a Cuban refugee who turns into a drug dealer. What is the name of this classic Pacino movie?",rated,Scarface,Carlitos Way,Serpico,Heat,Scarface
77,"In what movie does Pacino play a blind, hard drinking ex army colonel?",rated,Scent of a Woman,Scent of a Woman,Donnie Brasco,Blind Rage,Two Bits
78,In this movie Al Pacino plays a lawyer who single-handedly battles Marylands judicial system. What is the name of this Pacino movie?,rated,And Justice For All,Scent of a Woman,Cruising,The Insider,And Justice For All
79,"In this movie, Pacino holds up a bank in Brooklyn, New York to pay for his lovers sex change operation. What was the name of this classic Pacino flick?",rated,Dog Day Afternoon,Dog Day Afternoon,Serpico,Take the Money And Run,Stick Em Up!
80,"In this movie, Pacino plays the role of Charlie Brigante. He was a Puerto Rican who just served a 5 year prison term. He has a sleazy lawyer played by actor Sean Penn. What was the name of this Pacino movie?",rated,Carlitos Way,Carlitos Way,Glengarry Glen Ross,Revolution,Serpico
81,"Name the movie in which Pacino plays the role of an obsessive, L.A detective in search of a high-tech, high-precision robber and his tight knit gang.",rated,Heat,City Hall,The Insider,Two Bits,Heat
83,What year did the movie Risky Business first hit the theatres in the United States?,rated,1983,1983,1981,1984,1982
84,What was the name of Tom Cruises character in the movie Risky Business?,rated,Joel Goodsen,Joel Goodsen,Bill Toddson,Shimon Bentzvi,Joe L. Goodman
85,What city is the hit movie Risky Business set in?,rated,Chicago,Los Angeles,Chicago,Philadelphia,New York
86,What college is Joel trying to get into in the movie Risky Business?,rated,Princeton,Temple,Princeton,Harvard,Boston College
87,What is the name of Lanas pimp in the movie Risky Business?,rated,Guido,Angelo,Vito,Leno,Guido
88,"What actress played Lana, the call girl, in the popular movie Risky Business?",rated,Rebecca De Mornay,Rebecca De Mornay,Megan Mullaly,Susan Sarandon,Cindy Williams
89,"In the movie Risky Business, Joels mom has something very special to her on the mantelpiece. It almost falls to the ground but Joel dives in the air to save it from breaking. What is it?",rated,a crystal egg,a crystal egg,a family portrait,an urn of her grandmothers ashes,a grandfathers clock
90,What year were the English rock band Rolling Stones formed?,rated,1962,1958,1955,1962,1964
91,What is Mick Jaggers middle name?,rated,Phillip,Winston,Curtis,Phillip,Rufus
92,Which  ex-Rolling Stones band member died in 1969?,rated,Brian Jones,Charlie Watts,Brian Jones,Country Joe McDonald,Mick Taylor
94,Who officially replaced Rolling Stones member Mick Taylor in 1976?,rated,Ron Wood,Ed Wood,Wilbur Wood,Ron Wood,Roy Wood
95,Which Rolling Stones band members real name is William Perks?,rated,Bill Wyman,Keith Richards,Bill Wyman,Ron Wood,Charlie Watts
96,"In 1994, The Rolling Stones won their first Grammy award for Best Rock Album. What was the name of that album?",rated,Voodoo Lounge,Metamorphosis,Voodoo Lounge,Dirty Work,Stripped
97,"The Facts of Life, a show about a housemother (Mrs. Edna Garrett) taking care of a bunch of teenage girls at a private school called Eastland Academy, is a spin-off of what  television show?",rated,Diffrent Strokes,Hello Larry,Diffrent Strokes,Valerie,Makin It
98,"Family Matters, a show about a nerdy kid (Steve Urkel) who wreaks havoc on the Winslow family, is a spin-off of what television show?",rated,Perfect Strangers,The Love Boat,Perfect Strangers,Family Ties,Family
99,"Benson, a show about a butler who works for the Governor, is a spin-off of what television show?",rated,Soap,Soap,Family Affair,Mr. Belvedere,The Addams Family
100,The Jeffersons is a show about an upper-middle class African-American couple and their son living in New York City. The Jeffersons is a spin-off of what television show?,rated,All in The Family,Blanskys Beautys,All in The Family,Maude,Makin It
101,"Mork  Mindy, a show about an alien from the planet Ork living in the United States, is a spin-off of what television show?",rated,Happy Days,Cindi  Hayley,A Date With Judy,Happy Days,JustSomeGuy
102,"Frasier, a show about a neurotic psychiatrist who moves to Seattle to start fresh and lands a job hosting his own radio show, is a spin-off of what television show?",rated,Cheers,Big Blue Marble,The Tortellis,Franks Place,Cheers
103,"Good Times, a show about a family struggling to make ends meet in Chicago,  is a spin-off of what television show?",rated,Maude,Roots,The Ghetto,The Struggle,Maude
104,"Rhoda, a show about a woman in her 30s who leaves her home in Minneapolis to start a new life in New York City, is a spin-off of what television show?",rated,The Mary Tyler Moore Show,Maude,The Mary Tyler Moore Show,Alice,Gloria
105,"Enos, a show about a bumpkin deputy who lands a job in Los Angeles after making an important arrest in his hometown, is a spin-off from what television show?",rated,The Dukes Of Hazzard,The Dukes Of Hazzard,Knots Landing,Kojak,Heat Of The Night
106,"A Different World, a show about the everyday lives of young women attending Hillman College, is a spin-off of what television show?",rated,The Cosby Show,The Cosby Show,School Daze,Living Single,Girl Talk
107,"What year did the hilarious movie from the 80s, Back to School first hit the theatres in the United States?",rated,1986,1983,1986,1984,1982
108,What was the name of the university that Thornton and his son Jason attended in the great 80s movie Back to School?,rated,Grand Lakes University,Loyola Marymount,St. Johns University,Kansas State University,Grand Lakes University
109,What was Thorntons last name in the movie Back to School?,rated,Melon,Dillon,Melon,Schmelling,Orange
110,"In the movie Back to School, Thorntons son is the towel boy for  the school diving team. One of the star divers on the team (Chas) gets hurt, so Thornton has to fill in for him. What is the name of the famous dive that Thornton performs in the competition?",rated,The Triple Lindy,The Triple Play,The Double Crossover Jack- knife,The Triple Lindy,The Triple Axle
111,What does Thornton do for a living in the hit 80s movie Back to School?,rated,He owns a chain of Big and Fat stores.,He owns the Milwaukee Brewers major league baseball team.,He owns a string of donut shops.,He owns a chain of Big and Fat stores.,He owns a bunch hot dog trucks.
112,Who plays the college weirdo Derek Lutz in the movie Back to School?,rated,Robert Downey Jr.,Robert Downey Jr.,Charlie Sheen,Will E.  Maze,Emilio Estevez
113,What is the name of Thorntons bodyguard/driver in the classic film Back to School?,rated,Lou,Rocco,Paulie,Lou,Sonny
115,What is the nickname of the Grand Lakes University swim team in the movie Back to School?,rated,Hooters,Orioles,Hooters,Sparrows,Jayhawks
116,"What American entertainer was born Tula Ellice Finklea on March 8, 1921, in Amarillo, Texas?",rated,Cyd Charisse,Buddy Ebsen,Tom Selleck,Cyd Charisse,Buddy Hackett
117,"What American entertainer, who once flew over the Grand Canyon, was born David Seth Kotkin?",rated,David Copperfield,David Copperfield,Danny DeVito,David Brenner,David Susskind
118,"What an American singer, songwriter, and actress was born Kathie Epstein on August 16, 1953, in Paris, France?",rated,Kathy Lee Gifford,Kathy Lee Gifford,Cathy Rigby,Marisa Tomei,Geena Davis
119,"What American film and stage actress, who appeared in Shock Treatment (1964), was born Betty Joan Perske on 16 September 1924 in New York City, New York?",rated,Lauren Bacall,Earth Kitt,Joan Collins,Lauren Bacall,Yvonne De Carlo
120,"What American television and film actress, married for some years to musician/composer Burt Bacharach, was born Angeline Brown on September 30, 1931?",rated,Angie Dickinson,Angelina Jolie,Angie Dickinson,Donna Pescow,Angie Everheart
121,"What African American actor and rapper, originally a member of the group, N.W.A, was born OShea Jackson on June 15, 1969?",rated,Ice Cube,Ice T,Lawrence Hilton-Jacobs,50 Cent,Ice Cube
122,"What American actor, producer and director, who starred as Little Joe on TV show, Bonanza, was born Eugene Maurice Orowitz?",rated,Michael Landon,Gene Hackman,Gene Wilder,Michael Landon,Hal Linden
123,"Best known as lead singer of The Four Seasons, he was born Francis Stephen Castelluccio in Newark, New Jersey.",rated,Frankie Valli,Tom Jones,Frank Sinatra,Frank Zappa,Frankie Valli
124,"What American actor, famous for his role in TV series The Six Million Dollar Man, was born Harvey Lee Yeary?",rated,Lee Majors,Lee Majors,Lee Strasberg,Lee Marvin,Lee Mazzilli
125,"American entertainer Herbert Khaury, born April 12, 1932, was better known as this stage name, after the character from Dickens, A Christmas Carol.",rated,Tiny Tim,Harry Anderson,Tiny Tim,Billy Crystal,Herbie Hancock
126,"Name the American actress and signer, born Dana Elaine Owens on March 18, 1970, whose brother Lance was killed in 1992.",rated,Queen Latifah,Vivica A. Fox,Erika Alexander,Diahann Carroll,Queen Latifah
127,What year did the great 80s movie The Outsiders first hit the movie theatres in the United States?,rated,1983,1983,1986,1985,1982
128,"In the great 80s movie The Outsiders, what state do the principal characters live in?",rated,Oklahoma,North Carolina,Tennessee,Oklahoma,Kentucky
129,How does Johnny Cade kill Bob Sheldon in the popular 80s movie The Outsiders?,rated,switchblade,throws him off a rooftop,shoots him in the stomach,switchblade,cracks him in the head with a rock
130,"After Johnny kills Bob in the movie The Outsiders, he and Ponyboy go to Dallas Winston ( Matt Dillon ) for help and he gives them directions to go hide out somewhere. Where do they go to hide out ?",rated,an abandoned church in Windrixville,an old baseball stadium,an abandoned church in Windrixville,a vacant lot in Alabamba,a run down movie theatre
131,"In the hit 80s movie The Outsiders, when Ponyboy and Johnny tell Dallas that they want to turn themselves in to the police and admit to killing Bob Sheldon, Dallas gets mad at them. They are driving together in a car and see a building on fire. What type of building is on fire?",rated,church,a pizza place,school,Dairy Queen,church
133,"In the 80s movie The Outsiders, Keith Two-Bit Matthews (Emilio Estevez) is wearing a shirt with a Disney character on it . What is the name of this Disney character?",rated,Mickey Mouse,Donald Duck,Mickey Mouse,Goofy,Minnie Mouse
134,What actress plays the role of Cherry Valance in the movie The Outsiders?,rated,Diane Lane,Diane Lane,Sherit Blackbelt,Diane Ladd,Diane Chambers
135,What year did the movie Austin Powers: International Man of Mystery come out in the movie theatres?,rated,1997,1995,1996,1997,1994
136,Who played the role of Austin Powers in the movie Austin Powers: International Man of Mystery?,rated,Michael Myers,Robert Wagner,Michael McKean,Michael Douglas,Michael Myers
137,"In the movie Austin Powers: International Man of Mystery, Austin Powers was frozen in what year in the 1960s?",rated,1967,1964,1965,1969,1967
138,What was the name of Dr. Evils cat in the movie Austin Powers: International Man of Mystery?,rated,Mr. Bigglesworth,Mr. Bigglesworth,Scott,Morris,Wench 00
139,What actress played the role of Vanessa Kensington in the hit movie  Austin Powers: International Man of Mystery ?,rated,Elizabeth Hurley,Debra-Neil Fisher,Carrie Fisher,Elizabeth Hurley,Mimi Rogers
140,"In the movie Austin Powers: International Man Of Mystery, which one of Dr. Evils henchmen was played by actor Robert Wagner?",rated,Number 2,Number 2,Alotta Fagina,Cinema 26,Mustafa
142,Which of these is one of Austin Powers catchphrases from the movie Austin Powers: International Man of Mystery?,rated,"Yeah, baby!","Yeah, baby!",Dyno-mite!,Sit on it !,The devil made me do it
143,"In the movie Austin Powers: International Man of Mystery, Dr. Evil has android models with guns that pop out of their breasts. What is the name of these android models?",rated,Fembots,Fembots,Hot robot,Sexy Guns,2hot2trot
144,What was the name of the person who owned the dairy farm at which the Woodstock Festival took place?,rated,Max Yasgur,Max Baer,Max Factor,Max Yasgur,Abbie Hoffman
145,Who was the first singer to perform at the legendary 60s Woodstock Festival?,rated,Richie Havens,The Paul Butterfield Blues Band,Joan Baez,Richie Havens,Ten Years After
146,What state did the Woodstock Festival take place in?,rated,New York,New York,California,Florida,Texas
147,What year did The Silence of the Lambs make its U.S. debut in movie theatres?,rated,1991,1993,1990,1991,1994
148,What is the name of the young FBI trainee played by Jodie Foster in the thriller The Silence of the Lambs?,rated,Clarice Starling,Clarice Starling,Mary Stevens,Michelle Farlow,Catherine Martin
149,"In the hit movie The Silence of the Lambs, what did Dr. Hannibal Lecter do before getting nine life sentences in a Baltimore mental institute?",rated,phychiatrist,phychiatrist,oral surgeon,podiatrist,shoe salesman
150,What did Clarice Starling want to give Dr. Hannibal Lecter when she visits the asylum in the movie The Silence of the Lambs?,rated,the case file,a homicide report,a handcuff key,the case file,an autopsy report
151,What is the name of the serial killer in the great movie The Silence of the Lambs?,rated,Buffalo Bill,The Boston Strangler,Pittsburgh Pete,Baltimore Bob,Buffalo Bill
152,"In a scene from thriller The Silence of The Lambs, Clarice Starling and Jack Crawford are performing an autopsy on one of the victims. What does Clarice find in the throat of the victim?",rated,a chrysalis moth,a dollar bill,a small machete,a chrysalis moth,a bumble bee
154,"In the movie The Silence of the Lambs, how does Clarice finally figure out that she is in Buffalo Bills house?",rated,She sees lots of yarn and thread in the house.,She sees a fur coat in the house.,He tells her I am Buffalo Bill.,She sees lots of yarn and thread in the house.,She sees a victims head in the house.
155,What is the name of Buffalo Bills dog in the movie The Silence of the Lambs?,rated,Precious,Benji,Precious,Tinkerbell,Darling
156,From what Disney movie is the song you can hear in the audio file?,rated,Snow White and the Seven Dwarfs,Snow White and the Seven Dwarfs,Sleeping Beauty,Cinderella,Fantasia
157,This song was sung by the character Horatio Felonious Ignacious Crustaceous Sebastian in what Disney movie?,rated,The Little Mermaid,The Little Mermaid,Aladdin,Beauty and the Beast,Peter Pan
158,What 1967 animated Disney feature is this song from?,rated,The Jungle Book,The Fox and the Hound,Dumbo,The Jungle Book,The Rescuers
159,The popular Disney movie you will hear an extract from became a long-running show on Broadway.,rated,The Lion King,The Lion King,Aladdin,Tarzan,The Sword in the Stone
161,Si and Am are the two characters that sang the song you hear. What Disney movie is it from?,rated,Lady and the Tramp,Lady and the Tramp,The Rescuers,The Aristocats,101 Dalmations
162,This song won the Academy Award for best song in a movie. What Disney movie did it appear in?,rated,Pinocchio,Snow White and the Seven Dwarfs,The Jungle Book,Pinocchio,Sleeping Beauty
163,Listen to the track and decide what animated Disney feature this song is from.,rated,Pocahontas,Pocahontas,Aladdin,Brother Bear,Mulan
164,What is the name of the 1991 Disney movie this song is from?,rated,Beauty and the Beast,Mulan,Beauty and the Beast,Pocahontas,The Little Mermaid
166,What year did the movie Misery first hit the movie theatres in the United States?,rated,1990,1990,1993,1994,1992
167,Who was the director of  the hit 90s movie Misery?,rated,Rob Reiner,Richard Bachman,Stephen King,Rob Reiner,Ron Howard
168,What was the name of the character played by the  Academy Award-winning actress Kathy Bates in the sensational movie Misery?,rated,Annie Wilkes,Dominique Wilkes,Annie Jilkes,Annie Wilkes,Penny Wilson
169,"What is the profession of Paul Sheldon, played by James Caan, in the movie Misery?",rated,Writer,Limo Driver,Milkman,Writer,Mailman
170,"In the 90s movie Misery, how does Paul Sheldon end up waking up in somebodys home?",rated,car accident,car accident,boating accident,plane crash,He went to the wrong house
171,"In the movie Misery, Paul sends Annie to the store. What does she buy for him?",rated,typing paper,beer,typing paper,sledgehammer,some print for the typewriter
172,"In the thriller Misery,  Annie finds out that Paul has been out of his room. She then gets even with him by doing what?",rated,breaking his ankles with a sledgehammer,breaking his ankles with a hockey stick,breaking his arms with a pick axe,breaking his ankles with a sledgehammer,breaking his ankles with a baseball bat
173,How does Annie Wilkes get knocked out in the movie Misery?,rated,Paul trips her and she hits her head on a typewriter.,Paul cracks her in the head with one of his books.,Paul breaks the champagne bottle over her head.,Paul clubs her in the head with a tire iron.,Paul trips her and she hits her head on a typewriter.
174,"In the film Misery, Paul leaves his room while Annie is out of the house. How does he find out about her incriminating background?",rated,He finds an old scrapbook.,He finds 12 dead bodies in the basement.,He is watching television and sees a story about her on the news.,Somebody comes to the house and tells him about her past.,He finds an old scrapbook.
175,"At the end of the movie Misery, Paul is explaining to his book editor that sometimes he still sees Annie walking around. While he is saying this, he sees Annie walking towards him. Who is actually walking towards him?",rated,A waitress in the restaurant,A limousine driver,A bellhop,a police officer,A waitress in the restaurant
176,What year did the movie My Cousin Vinny first hit the theatres?,rated,1992,1995,1990,1991,1992
177,Who played the tough Judge Chamberlain Haller in the movie My Cousin Vinny?,rated,Fred Gwynne,Fred Gwynne,John Astin,Al Lewis,Jackie Coogan
178,"In the movie My Cousin Vinny,  in what field is Mona Lisa considered an expert witness?",rated,automobiles,automobiles,beauty tips,The New York Yankees,chewing gum
179,What year did the hilarious movie The Bad News Bears first hit the movie theatres in the United States?,rated,1976,1974,1976,1980,1979
180,"In the movie The Bad News Bears, what is the name of the coach of the Bears, portrayed by Walter Matthau?",rated,Morris Buttermaker,Fred Eichelberger,Morris Buttermaker,Morris Engelberg,Forest Green
182,"What was the name of the teams power hitter in The Bad News Bears, who used to ride a motorcycle?",rated,Kelly,Kelly,Telly,Rudi,Toby
183,What was the name of the company that sponsored the Bears in the movie The Bad News Bears?,rated,Chicos Bail Bonds,Just Some Guys Kids,Diplomat Cleaners,Chicos Bail Bonds,Buttermakers Troublemakers
184,Who was the wise cracking shortstop for the Bears in the movie The Bad News Bears?,rated,Tanner,Tanner,Rudi,Roy,Cleveland
185,What state do the Bears play in the movie The Bad News Bears?,rated,California,California,Texas,Philadelphia,New York
186,"In the movie The Bad News Bears, the Bears actually make it to the championship game. What is the name of the team that the Bears play in the championship?",rated,Yankees,Angels,Red Sox,Yankees,Mets
188,"In The Bad News Bears, Ahmad is an African American boy who plays right field for the Bears and wears uniform #44. He is a big fan of what Hall of Fame baseball player?",rated,Hank Aaron,Reggie Jackson,Willey McCovey,Orlando Cepeda,Hank Aaron
189,What year did the classic John Hughes movie from the 80s Ferris Buellers Day Off first hit the theatres in the U.S.?,rated,1986,1982,1987,1983,1986
190,"In the classic 80s movie Ferris Buellers Day Off, what is the name of the high school that Ferris and his friends attend?",rated,Lake Forest,William Cullen Bryant,Crenshaw,Wake Forest,Lake Forest
191,"What actress played the part of Ferris sister, Jean Bueller, in the comedy movie Ferris Buellers Day Off ?",rated,Jennifer Grey,Cynthia Rhodes,Jennifer Grey,Kelly Bishop,Buffy Aholic
192,"In the 80s movie Ferris Buellers Day Off, Ferris convinces his nervous friend Cameron to take his fathers car for the day. What kind of car do they ride around in on their day off?",rated,Ferrari,Jaguar,Ferrari,Mercedes,Porsche
193,"In the movie Ferris Buellers Day Off, what excuse does Ferris give, in order to get his girlfriend Sloane out of school?",rated,Her grandmother died.,Her grandmother died.,Her uncle died.,Her grandfather died.,Her aunt died.
194,What is the name of the principal  in the hit movie Ferris Buellers Day Off?,rated,Mr. Rooney,Mr. Looney,Mr. Mooney,Mr. Rooney,Mr. Mulrooney
196,"In the movie Ferris Buellers Day Off, Ferris and his friends go to a fancy restaurant. Ferris claims to be the Sausage King Of Chicago. What is the name of the Sausage King that he pretends to be?",rated,Abe Froman,Abe Froman,Ferris Bueller,Gabe Sloman,Johnny Links
197,"In the classic 80s movie Ferris Buellers Day Off, during the Von Steuben Day Parade, Ferris hops onto a float and starts lip-syncing what Beatles song?",rated,Twist and Shout,Come Together,Hey Jude,Twist and Shout,"Please, Please Me"
