,question,category,answer,choices/0,choices/1,choices/2,choices/3
56,"In Black Sunday, Michael Lander played by Bruce Dern, conspires with a Palestinian terrorist group to kill masses of innocent people in what way?",general,"by detonating a bomb, housed in the undercarriage of a blimp, over a football stadium during the Super Bowl",by detonating a nuclear device inside the Pentagon,"by detonating a bomb, housed in the undercarriage of a blimp, over a football stadium during the Super Bowl",by hijacking a 747 and taking it to Syria,by infecting a water supply with the black plague
58,"In the film The Hunt For Red October, what was the unique quality of the Russian submarine Red October?",general,"It was built with a revolutionary stealth propulsion system called the caterpillar drive,",It was a laser guided sub that tracks 24 targets at the same time.,"It was built with a revolutionary stealth propulsion system called the caterpillar drive,",Its stealth armor confuses the enemy sonar,None of these
59,"Which 1985 comedy film starred Tom Hanks, Jim Belushi and Lori Singer?",general,The Man With One Red Shoe,The Man With One Red Shoe,The Woman In Red,The Masque of the Red Death,Reds
60,"In the movie Goldfinger, which one of the following characters does not die?",general,Pussy Galore,Tilly Masterson,Pussy Galore,Goldfinger,Oddjob
61,"What was unique about The Green Berets, a film starring John Wayne?",general,It was the only Vietnam War film that was produced during the war itself,None of these,It was John Waynes first movie without a female co-star,It was the only non-western John Wayne movie in color,It was the only Vietnam War film that was produced during the war itself
63,"One of the first known blondes was this Greek goddess, whose hair was described by Homer as golden.",general,Aphrodite,Demeter,Aphrodite,Hera,Medusa
64,The hairs of a natural blonde can be described as this.,general,More than those of a brunette,More than those of a brunette,Thinner than those of a brunette,The same number as those of a brunette,Fewer than those of a brunette
65,Researchers in England found this to be true of  blond cashiers in supermarkets.,general,Gather greater queues,Have frequent technical issues with the registers,Gather greater queues,Receive more tips from customers,Have higher chances of not balancing the register at the end of the day
66,During The Restoration period blond hair became a symbol of this.,general,Prostitution,Stupidity,High class,Intelligence,Prostitution
67,Most fairy tale characters have this color hair.,general,Blonde,Blonde,Dark,Green,Red
68,"Blonde hair was important to Hitler, according to him it symbolized this.",general,The purity of the Aryan race,Valor,German nationality,Innocence,The purity of the Aryan race
69,She is regarded as the most famous blonde of all times.,general,Marilyn Monroe,Marlene Dietrich,Eva Brown,Marilyn Monroe,Madonna
70,"Strange as it may be, there are paintings, depicting a blonde one of her.",general,Cleopatra,Madamme Butterfly,Cleopatra,Beyonce,Aretha Franklyn
71,Red is the color of all these except one.,general,Sadness,Danger,Warmth,Passion,Sadness
73,The movie Trois couleurs: Rouge (Three Colors: Red) is about a girl who discovers her neighbour is keen on invading peoples privacy. This is her profession.,general,Model,Photographer,Teacher,Model,Actress
74,The Rothschilds were one of the most successful business families in history. Their family name literally means this.,general,Red Shield,Red Shire,Red Sheath,Red Shield,Red Sheave
75,Three of the following albums are by the band Red Hot Chili Peppers. Which is the odd one?,general,In Another Land,Blood Sugar Sex Magik,Freaky Styley,In Another Land,By the Way
76,"Red River College (RRC) is a large and very comprehensive institute of applied learning, located in this city.",general,Winnipeg,Ottawa,Toronto,Vancouver,Winnipeg
77,Red Lobster is a U.S. chain of seafood restaurants. Its original name was this.,general,Harbor for Seafood Lovers,Harbor for Seafood Lovers,Lobster Lovers,Lobster Barbecue,Red Harbor
78,Manfred Albrecht Freiherr von Richthofen was a German pilot and is still regarded today as the ace of aces. Which of the following pairs (nickname - nation calling him that) is wrong?,general,They are all true.,Red Battle-Flyer - the Germans,Red Devil - the French,Red Baron - the British,They are all true.
79,Simply Red is a British band. The bands name is related to this soccer team.,general,Manchester United,Arsenal,Liverpool,Manchester United,Middlesbrough
80,One of these four countries does not border the Red Sea.,general,Oman,Jordan,Egypt,Oman,Sudan
81,"Internationally, blue is the color of these political parties.",general,Conservative parties,Labour parties,Liberal parties,Communist parties,Conservative parties
82,"The term blue blood, meaning aristocracy or related to aristocracy, originated in this country.",general,Spain,England,Germany,Spain,France
83,Eiffel 65 is a trio of Italian musicians who play electronic music. One of their biggest hits is Blue (Da Ba Dee). The album featured this hit.,general,Europop,Eiffel 65,Contact!,Europop,Suggested Title - Crash Test
84,In German the word for blue is used to describe that a person is this.,general,Drunk,Married,Crazy,Rich,Drunk
85,"Blue is a British boy band consisting of four members. The song Signed, Sealed, Delivered, Im Yours is performed by them and this musician.",general,Stevie Wonder,Jim Morrison,Stevie Wonder,Elton John,Steve Lawrence
86,"In The Hitchhikers Guide to the Galaxy there are several references to a super-intelligent shade of the color blue, called this.",general,Hooloovoo,Cyan,Volo-loco,Hooloovoo,Gobo
87,Blue pages are a telephone directory of these.,general,Government offices,Business offices,Celebrities home numbers,Brothels numbers,Government offices
88,This huge company is often referred to as Big Blue.,general,IBM,Hewlett-Packard,Microsoft,IBM,"Cisco Systems, Inc."
89,"What did electrical engineering professor, Dr. Brent Townshend, invent in 1996?",general,The 56K modem,The 56K modem,Potato Chips,Bookshelf speakers,The remote control locator
90,"What did George Crum invent at the Moon Lake Lodge resort in Saratoga Springs, New York?",general,The potato chips,The remote control locator,The potato chips,Bookshelf speakers,The 56K modem
91,"In 1971, this programmer implemented the first email system capable of sending mail between users on different hosts connected to the ARPANET.",general,Ray Tomlinson,David Thomson,John Tomlinson,Mark Thomson,Ray Tomlinson
92,"This device, named Missing Link,  was invented by twin sisters Kelli and Vanessa Dunn.",general,The remote control locator,The remote control locator,The bookshelf speakers,The 56K modem,The microphone
93,"In 1986, this musician, famous for performing the song  Johnny B. Goode, became the first person inducted into the Rock and Roll Hall of Fame.",general,Chuck Berry,Bill Haley,Chuck Berry,Elvis Presley,Jerry Lee Lewis
94,"This actor, who plays Dr. Norman in What Lies Beneath, is also a licensed pilot of both planes and helicopters.",general,Harrison Ford,John Travolta,Anthony LaPaglia,Ralph Finnes,Harrison Ford
95,"How old was Cio-Cio-San, a character in Giacomo Puccinis opera, Madame Butterfly ?",general,15,15,20,19,21
96,This number is usually associated with the unknown and the bad luck. A fear of this number is known as triskaidekaphobia.,general,13,6,13,9,666
97,This is the number of heavens in Islamic tradition. It is also the figurative number of seas.,general,7,11,3,4,7
98,50 years of marriage are known as this.,general,Gold anniversary,Pearl anniversary,Diamond anniversary,Gold anniversary,Platinum anniversary
99,The first Soviet nuclear ballistic submarine was called K-(this number).,general,19,18,17,19,21
100,This is the number of points outlined by president Woodrow Wilson for reconstructing a new Europe following World War I.,general,14,12,24,14,27
101,One of these statements about the enigmatic number 23 is wrong.,general,All statements are in fact true.,Each parent contributes 23 chromosomes to the DNA of a child.,Julius Caesar was stabbed 23 times when he was assassinated.,All statements are in fact true.,"The Knights Templar had 23 Grand Masters, the last being Jacques de Molay."
102,"According to Douglas Adams book The Hitchhikers Guide to the Galaxy, this number is the answer to the Ultimate Question of Life, the Universe and Everything.",general,42,37,53,42,27
104,This is the number of syllables in a haiku (a very short Japanese poetic form).,general,17,41,35,28,17
105,This is the total number of books in the New Testament of the Holy Bible.,general,27,27,57,37,17
106,"In this movie Eminem plays the main character, whose name is Jimmy B-Rabbit Smith, Jr.",general,8 Mile,Torrance Rises,The Wash,8 Mile,The Slim Shady Show
107,This comedian stars in Who Framed Roger Rabbit (a 1988 motion picture).,general,Bob Hoskins,Jim Varney,Bob Hoskins,Jim Carrey,Danny DeVito
108,The young of which of these animals is not called a joey?,general,dog,dog,opossum,wombat,kangaroo
109,"In these fractions, used by ancient Egyptians, the numerator is 1 and the denominator is a positive integer.",general,unit fractions,algebraic fractions,decimals,continued fractions,unit fractions
110,What is the name of the informal association of people who can trace their ancestry to the original Virginian colonists from England?,general,First Families of Virginia,First children of Virginia,First Settlers of Virginia,First Families of Virginia,Founders of Virginia
111,Which collective noun denotes a group of owls?,general,parliament,parliament,descent,dule,covey
112,"Which battleship of the Imperial Japanese Navy was sent on a suicide mission in 1945, during the invasion of Okinawa?",general,Yamato,Yamato,Kamikaze,Tojo,Noh
113,This word deriving from Latin refers to the act of throwing someone or something out of a window.,general,defenestration,defenestration,sylvan,peloton,homunculus
114,"Which word was coined by philosopher and theologian, William Whewell in 1833?",general,scientist,holography,magenta,scientist,trastevere
115,"What was the first word addressed to Mission Control by Neil Armstrong, when his craft landed on the Moon on July 20, 1969?",general,Houston,One,Buzz,Roger,Houston
116,"The Cretaceous-Tertiary event, also known as KT boundary, refers to what?",general,a period of massive extinction of species,a period of massive extinction of species,The destruction of the largest pyramid in the Western hemisphere,the first recorded devastating tsunami,None of these
117,Sapphire is usually associated with this month.,general,September,November,December,October,September
118,One of the following pairs (month - the gem associated with it) is wrong.,general,February - Peridot,February - Peridot,December - Turquoise,March - Aquamarine,June - Pearl
121,"The birth stones associated with March, September and December can all be found in this color.",general,Blue,Blue,Green,Pink,White
122,History records the fact that a Roman senator named Nonius chose exile rather than surrender his precious stone to Mark Anthony. This is Nonius gem stone.,general,Opal,Ruby,Opal,Tourmaline,Zircon
123,"In chemistry, if you mix an acid with a base you would get these chemicals.",general,Water and a salt,Water and carbon dioxide,Carbon dioxide and water,Water and a salt,A salt and oxygen
124,Which was the first car model to sell one million cars in one year?,general,Chevy Impala,Corvette,Chevy Impala,Volkswagon Beetle,Toyota Corolla
125,"Which company built the A6M, aka Zero -- the fighter aircraft  that was used in the attack on Pearl Harbor?",general,Mitsubishi,Toshiba,Isuzu,Mitsubishi,Mikayashi
126,Which U.S. President is famous for saying I choose not to run?,general,Calvin Coolidge,Calvin Coolidge,Herbert Hoover,John Tyler,Warren G. Harding
127,What type of chocolate contains the most  flavonoids and may help lower your cholesterol?,general,Dark chocolate,Chocolate with almonds,Milk chocolate,White chocolate,Dark chocolate
128,How much did the USA pay Russia for Alaska?,general,$7.2 million,$72 million,$720 million,"$720,000",$7.2 million
129,At what temperature is the Fahrenheit temperature equal the Celsius temperature?,general,-40 degrees,0 degrees,-40 degrees,4 degrees,-4 degrees
130,What musical instrument made jazz performer Lionel Hampton famous?,general,Vibes,Trombone,Drums,Clarinet,Vibes
131,What are the only two landlocked countries in South America ?,general,Bolivia and Paraguay,Bolivia and Paraguay,Paraguay and Uruguay,Bolivia and Uruguay,Colombia and  Ecuador
132,The real McCoy refers to the man who invented this.,general,The locomotive self-lubricator,The train throttle,The sewing machine,The train coupling,The locomotive self-lubricator
133,"Which word means a practitioner of the martial art of Okinawan origin, karate?",general,Karateka,Konyico,Karateka,Sojin,Samurai
134,Which of these Biblical characters is known to have the greatest number of children?,general,David,Jacob,King Saul,David,Joshua
135,"Which device was patented in 1970 by  Douglas Engelbart, an American inventor of Norwegian descent?",general,The computer mouse,The traffic light,The computer mouse,The internal combustion engine,The can opener
136,"When did the famous American crooner Nat King Cole and his daughter Natalie Cole record their hit song, Unforgettableâ?",general,Never,in 1989,Never,in 1990,The date was never officially revealed
138,"In ancient times, which stone was believed to protect from drunkenness?",general,amethyst,amethyst,ruby,emerald,onyx
139,"Nicknamed Mighty Mo (or Big Mo), this Iowa-class battleship from the end of World War II was the last battleship built by the United States.",general,USS Missouri,USS Missouri,USS Illinois,USS Idaho,USS Minnesota
141,In what year did French mechanic Nicolas Joseph Cugnot invent the first self-propelled road vehicle?,general,1769,1891,1824,7874,1769
142,This is the only RB/soul singer asked by Johnny Carson to perform twice in the same week in The Tonight Show.,general,Patti LaBelle,Gladys Knight,Aretha Franklin,Patti LaBelle,Whitney Houston
143,"3M Company was formed in 1902 in Two Harbors, Minnesota near Lake Superior with the intent of selling sandpaper. The company made $22.923 billion USD in 2006 and is famous for several inventions, including Scotch tape. What does 3M stand for?",general,Minnesota Mining and Manufacturing Company,The number 3000,Minnesota Mining and Manufacturing Company,The year 3000 A.D.,"Michaels, McCallister and Murphy"
144,"Having won 6 Tony Awards, including Best Musical, this 1950s production is a modern retelling of the Faust legend. Its main characters are Mr. Applegate, Joe Boyd and Lola.",general,Damn Yankees,"Hello, Dolly!",The Music Man,Guys and Dolls,Damn Yankees
145,"Born in Vladivostok, Russia in 1920, this Academy Award-winning actor is best know for playing King Mongkut of Siam 4,626 times onstage. He also reprised the role in the film version of the musical.",general,Yul Brenner,Telly Savalas,Yul Brenner,Lee J. Cobb,Peter Sellers
146,This country is a founding member of the European Union and the United Nations and one of the five permanent members of the United Nations Security Council. It is visited by over 75 millions tourists annually.,general,France,Germany,France,Spain,England
148,"Author Marianna Mayer describes this mythical creature as the only fabulous beast that does not seem to have been conceived out of human fears. In even the earliest references he is fierce yet good, selfless yet solitary, but always mysteriously beautiful. He could be captured only by unfair means. What creature is this?",general,Unicorn,Satyr,Griffin,Unicorn,Phoenix
149,This Shakespearean play is referred to as The Scottish Play or The Scottish King by most actors and theater people since it is considered bad luck to mention the name of the play.,general,Macbeth,King Lear,Othello,Macbeth,Hamlet
150,The average person can live this number of days without water.,general,11,11,4,21,31
152,The first couple to be shown in bed together on prime time television was this.,general,Johnny and Mary Kay Stearns,Johnny and Mary Kay Stearns,The Simpsons,The Jetsons,The Adams
153,He was the only US President to win the Pulitzer Prize.,general,John F. Kennedy,Woodrow Wilson,Dwight D. Eisenhower,Lyndon B. Johnson,John F. Kennedy
154,"Some sources claim the youngest pope was Benedict IX (1032 A.D.), elected at this age.",general,12,21,9,16,12
156,"According to GlobalNet UK, less than what percentage of 500 Chinese cities surveyed have clean air?",general,1%,15%,24%,30%,1%
157,Tegestology is the hobby of collecting this.,general,Beer mats,Beer mats,Coffee spoons,Bottle labels,Bottle lids
158,Who invented the ball point pen?,general,Jozsef Laszlo Biro,Elias Schaeffer,Elias Howe,John Fitzsimmons Waterman,Jozsef Laszlo Biro
159,The idea of a helicopter was first documented by this man.,general,Leonardo Da Vinci,Sikorsky,Einstein,Aristotle,Leonardo Da Vinci
160,What was the first product to have a bar code?,general,Wrigleys gum,Scotts Tissue,Pez candy,Bounty bar,Wrigleys gum
161,What do we call a storage place for bees?,general,Apiary,A bee zoo,Apiary,Asterciary,Aviary
162,Former NBA coach Frank Layton once fined small forward Adrian Dantley thirty pieces of silver.  What did Layton say the fine was for?,general,Betrayal,Being late to three  practices in a row,Betrayal,Asking to be traded,Missing three foul shots in a row
163,Which of these elements has the highest melting point?,general,Carbon,Nitrogen,Hydrogen,Oxygen,Carbon
164,King John Sobieski of Poland saved Vienna from Ottoman invaders. In his honor something new was invented.  What was it ?,general,The bagel,The Polish saddle,The  epee,Heeled boots,The bagel
165,It has an unemployment rate  of 15%. According to the 2000 Census it is the poorest of   the 100 largest US Cities.  Which city is it?,general,Detroit,Newark,New Haven,Detroit,Boca Raton
166,This historical event occured in 1881 in the United States. It has been the  story line for at least 4 major motion pictures. What was this event?,general,The Gunfight at the O.K. Corral,The Little Big Horn,The Gunfight at the O.K. Corral,The  Rise of the KKK,The  Attack of the 600
167,Which President ended Reconstruction ?,general,Hayes,Hayes,Grant,Garfield,Arthur
168,What percentage of women do not wear the correct bra size?,general,50-75%,50-75%,20-40%,30-40%,10-15%
169,How often should a woman change her bra?,general,every 6 months,every 9 months,every 6 months,every 5 weeks,once a 1year
170,What price did someone pay for Marilyn Monroes bra that she wore in the 1959 movie Some Like It Hot?,general,"$14,000","$4,000","$14,000","$10,000","$1,000"
171,What year did the bra first appear?,general,2000 BC,4000 BC,2000 BC,1000 BC,3000 BC
172,What year did Mary Phelps Jacobs create the first modern bra after getting mad at her hard bodice? She covered its bones with silk handkerchief and attached it with a couple of cords.,general,1913,1912,1920,1925,1913
173,This famous bra brand was introduced to the USA in May 1994.  It started selling at a rate of one every 15 seconds at the initial retail price of $26.,general,Wonderbra,Bali,Wonderbra,La Perla,Victorias Secret
174,"The average woman will wear different bra sizes in her life, due to gravity, pregnancy and weight changes. How many times will she change her size?",general,6,8,3,6,5
176,There are cases of heterosexual men wearing bras to hide his enlarged chest.  What is the name of the disease that causes this hormonal defect?,general,Gynecomastia,Hepatitis,Gynecomastia,Budd-Chiari Syndrome,Caroli Disease
177,"Studies have proven that there is a relation between wearing bras and this disease.   Research found that 3 out of 4 women wearing bras 24 hours a day had the chance to get this disease, while women wearing bras for less than 12 hours a day had a 1 out of 152 chance.",general,Breast cancer,Gynecomastia,Breast cancer,Anemia,Asthma
178,"What is the missing word in these lyrics taken from a traditional folk song of the Southern United States?
Theres a yellow rose of ______ Im goin for to see,
No other soldier knows her, nobody only me.?",general,Texas,Jasper,Texas,Kansas,Mine
179,The Yellow River is the second largest river after the Yangtze in what country?,general,China,Australia,Japan,South Africa,China
181,Which of the American states below does not have part of the Yellow Stone National Park in it?,general,Utah,Wyoming,Montana,Idaho,Utah
182,What type of insects are yellowjackets which live in colonies and build globular paper nests?,general,wasps,ants,crickets,wasps,butterflies
183,What type of animal is Old Yeller featured in the 1957 classic film Old Yeller?,general,Dog,Panther,Dog,Grizzly Bear,Mountain Lion
184,The Yellow Sea is connected to what ocean?,general,Pacific,Atlantic,Arctic,Indian,Pacific
185,What company produces and distributes the citrus flavored soft drink Mello Yello?,general,Coca-Cola,Pepsi,Coca-Cola,Dr Pepper/Seven Up,Cadbury-Schweppes
186,"Two earthquakes with epicenter in northeast Arkansas, caused landslides and geological changes along the Mississippi River. On what date did these two earthquakes take place?",general,"December 16, 1811","April 27, 1815","July 23, 1809","August 12, 1823","December 16, 1811"
188,The term lachanophobia means a fear of what?,general,vegetables,vegetables,beds,doors,llamas
189,"Which statement, concerning the vision of owls is true?",general,All of these,Owls must turn their entire head to change views.,All of these,Owls are far-sighted and unable to clearly see within a few inches of their eyes.,Owls have binocular vision.
190,"The oldest surviving violin, date-stamped on the inside, is the Charles IX, made in 1564 by which luthier?",general,Andrea Amati,Antonio Stradivari,Pietro Guarneri,Andrea Amati,Andrea Guarneri
192,Slugs have how many tentacles on their head?,general,4,8,4,7,3
193,"Moe Berg was a professional baseball player, a catcher. Which one of these statements about him is correct?",general,He was an international spy.,He  was the only catcher to catch three no hitters.,He was the last out in Don Larsens perfect game.,He was an international spy.,He was on base when Ruth hit home run number 60.
194,How many legs does a dragonfly have?,general,6,8,0,4,6
195,Which is the only food that never spoils?,general,Honey,Honey,Potatoes,Pasta,Peanut butter
196,"Although opponents tried to spread rumors that he was in the KKK, this President completely integrated the U.S. Armed Forces.",general,Truman,Andrew Johnson,Lyndon Johnson,Hoover,Truman
197,Where did the Black Plague  originate?,general,India,Turkey,Italy,Russia,India
198,Who was Aristotles teacher?,general,Plato,Plato,Ptolemy,Socrates,Alexander
199,Who was Aristotles most famous student?,general,Alexander,Phillippus Magnus,Alexander,Erasmus,Ptolemy
200,What is the largest mountain in the western hemisphere?,general,Aconcagua,McKinley,Pissis,Aconcagua,K2
201,What is the largest city on the worlds largest island?,general,Godthaab,Rabaul,Frobisher Bay,Godthaab,Weser
202,What is covered by the 19th amendment to the US constitution?,general,Voting rights for women,"Voting rights for citizens of Washington, D.C.",Repeal of Prohibition,Voting rights for women,Voting rights for people of Guam
203,"The 1.5 million square mile area, known as the Bermuda Triangle, has its equivalent in the Pacific ocean. What is it called?",general,Devils Sea,Satans Triangle,Dark Triangle,Triangle of Death,Devils Sea
204,The first mention of any disappearances in the region was made in this year.,general,1950,1950,1894,1974,1912
206,Lawrence Kusche was one of the first people to conduct a comprehensive research on the topic of strange disappearances of ships. His conclusions proved to some extent that there was nothing extraordinary about this region.  One of the following statements was not a conclusion that he made.,general,The disappearance of three of the missing ships can be explained through the interference of the US Military Force.,The number of such disappearances was exaggerated by sloppy research and fuzzy math.,The disappearance of three of the missing ships can be explained through the interference of the US Military Force.,The proportion of losses was no greater than anywhere else.,"The number of ships which disappeared in supposedly still, calm weather, did not jibe with press weather reports published at the time."
208,"The Bermuda Triangle has been responsible for the disappearances of this number of planes and ships, which have been lost till the end of the 20th century.",general,66,78,66,52,113
209,Who was baseball announcer Joe Garagiolas best friend in childhood ?,general,Yogi Berra,Stan Musial,Yogi Berra,Red Barber,Chris Schenkel
210,Ladino is a language composed of  which two other languages ?,general,Hebrew and Spanish,Spanish and Portuguese,Spanish and Arabic,Hebrew and Spanish,Portuguese and Italian
211,King Edward VIII abdicated the English throne for the woman I love. He later became the Gouverneur of what land ?,general,The  Bahamas,Fiji,The  Bahamas,Jamaica,Barbados
212,"Excluding Englands cities, which city built the first subway in Europe?",general,Budapest,Rome,Paris,Budapest,Barcelona
213,"Al the languages of Europe, except three, are derived from Indian languages, probably Sanskrit or Tamil. Which three are the exceptions?",general,"Hungarian, Estonian, and Finnish","Norwegian, Danish, and Swedish","Andorran, Catalan, and Provencal","Romanian, Romansch, and English","Hungarian, Estonian, and Finnish"
215,"Alligators and crocodiles exist together in only one place in the world, where?",general,Florida,Samoa,North Carolina,Florida,Australia
216,What animals were the Canary Islands named after ?,general,Dogs,Lions,Dogs,Cats,Canaries
218,"The Persian Empire was divided into 20 provinces, each called this.",general,Satrapy,Satrapy,Larsa,Uruk,Assur
219,What was the first name of the character Masterson in the musical comedy Guys and Dolls?,general,Sky,Uri,Dom,Sky,Job
220,"What is the first name of the comedian, who in 1999 became host of The Daily Show?",general,Jon,Stu,Lou,Jon,Ray
221,"Finish the title of the Johnny Cash song, which tells the story of a man who wants to take revenge on his father for giving him a girls name: A Boy Named.....",general,Sue,Amy,Sue,Liz,May
222,By what nickname was shipping magnate Onasis better known?,general,Ari,Psi,Ari,Soc,Uri
223,"Complete the title of this 1990 film, starring Tom Hanks: ....Versus the Volcano.",general,Joe,Gus,Joe,Pat,Tom
224,Which of the following is the name of one of The Three Stooges?,general,Moe,Moe,Sep,Ham,Lou
225,Which famous 19th century author had the pen-name Boz?,general,Charles Dickens,Mark Twain,Bozzie Haversham,Daniel Defoe,Charles Dickens
