,question,category,answer,choices/0,choices/1,choices/2,choices/3
16,Valeria Messalina was the third wife of this Roman emperor.,history,Claudius,Caligula,Tiberius,Nero,Claudius
17,"Philip II of France, Richard I of England and Frederick I led this campaign.",history,Third Crusade,Childrens Crusade,Albigensian Crusade,Fourth Crusade,Third Crusade
18,Yu the Great was the legendary first Chinese monarch of this dynasty.,history,Xia Dynasty,Xia Dynasty,Qing (Manchu) Dynasty,Ming Dynasty,Yuan Dynasty
19,"This German general was nicknamed The Desert Fox due to the skillful military campaigns he waged in North Africa, during World War II.",history,Erwin Rommel,Erwin Rommel,Hermann Goring,George Patton,Bernard Montgomery
21,"How many landing beaches were there in the 1944 Normandy Invasion, known as Operation Overlord?",history,Five,Four,Six,Five,Three
22,What was the name of the first jet-powered fighter used in World War II?,history,Me-262,P-51,Hurricane,Me-262,MIG-3
23,Which member of the Nazi Party was known as Adolph Hitlers first architect of the Third Reich?,history,Albert Speer,Rudolph Hess,Albert Speer,Hermann Goring,Joseph Mengele
24,"The British evacuation from which French port was codenamed Operation Dynamo, in 1940?",history,Dunkirk,Brest,Cherbourg,Dunkirk,Toulon
25,Which American politician said the following about liberty: They that can give up essential liberty to obtain a little temporary safety deserve neither liberty nor safety.â?,history,Benjamin Franklin,Benjamin Franklin,Thomas Jefferson,Abraham Lincoln,George Washington
26,"Which US President delivered the following words: Ask not what your country can do for you, ask what you can do for your country.?",history,John F. Kennedy,William J. Clinton,Franklin D. Roosevelt,Abraham Lincoln,John F. Kennedy
27,"Which US President said these words: A democracy is nothing more than mob rule, where fifty-one percent of the people may take away the rights of the other forty-nine.?",history,Thomas Jefferson,Abraham Lincoln,Thomas Jefferson,Benjamen Franklin,John F. Kennedy
28,"Which US President made the following statement: America stands for liberty, for the pursuit of happiness and for the unalienable right for life. This right to life cannot be granted or denied by government because it does not come from the government, it comes from the creator of life.?",history,George W. Bush,George W. Bush,Thomas Jefferson,John Adams,George Washington
30,"Which great American leader made the following statement: Any people anywhere, being inclined and having the power, have the right to rise up, and shake off the existing government, and form a new one that suits them better. This is a most valuable - a most sacred right - a right, which we hope and believe, is to liberate the world.â?",history,Abraham Lincoln,Benjamin Franklin,Abraham Lincoln,George Washington,Thomas Jefferson
31,"The M1 Carbine is the most mass produced small arm weapon in the United States. Even though it was mainly produced by the Inland Division of General Motors, its design belongs to this famous company.",history,Winchester,Winchester,Kalashnikov,GIAT Industries,Magnum Research Inc.
32,How many Medal of Honor citations have been issued during the Vietnam War?,history,245,245,345,153,120
33,One of the worlds greatest generals. By  the age of 30 he ruled almost half of the world. This great leader died at the peak of his campaign at the age of 33.  His was taught by Aristotle.,history,Alexander The Great,Alexander The Great,Darius,Julius Caesar,Augustus
34,"This Carthaginian general marched from Spain to Rome across the Alps.  14,000 of his 40,000 troops died because of the harsh climate.  Later, he won the Battle of Cannae.",history,Hannibal,Augustus,Gaius Marius,Lesius Quietus,Hannibal
35,"His saying, Veni Vidi Vici (I came I saw I conquered) is known all over the world.  His war feats clothed him with glory giving him political power.",history,Julius Caesar,Marcus Antonius,Julius Caesar,Augustus,Darius
36,This American general  led the invasion of Normandy.  He was also an American president from 1953 to 1961.,history,Dwight Eisenhower,Dwight Eisenhower,George S. Patton,MacArthur,William H. Simpson
37,He was one of the best military officers of Russia during the World War II and involved in the taking of Berlin.,history,Georgi Zhukov,Lavr Kornilov,Georgi Zhukov,Alexander Samsonov,Nicholas Nikolaevich
39,"Along with the French general, this British general also led the campaign in Northern Africa during the World War II.  He was accused of not fighting bravely enough, after his lack of success in Operation Lightfoot.",history,Bernard Montgomery,Dwight Eisenhower,Bernard Montgomery,Georg Stumme,John White
40,This island was Englands first overseas colony.,history,Newfoundland,Rhodes,Newfoundland,Iceland,Greenland
41,"In 1962 Jamaica gained full independence from the United Kingdom, but before even becoming a British colony, Jamaica was possession of this country.",history,Spain,Spain,Portugal,Russia,Italy
43,Australia was officially settled in 1788 as the penal colony of New South Wales. Over the course of the 19th century this many new self-governing Crown Colonies were established on the continent.,history,5,4,5,3,12
44,"One of  the results of the Second Anglo-Dutch War, between England and the United Netherlands, was that the city of New Amsterdam was renamed to this.",history,New York,New York,New Jersey,New Mexico,New Orleans
46,Slavery was outlawed in all British colonies in this year.,history,1834,1812,1912,1834,1738
47,"On July 1, 1997, the former British colony of Hong Kong reunified with the Peoples Republic of China. This man was the last governor of Hong Kong.",history,Chris Patten,Henry Tang,Chris Patten,Tung Chee Hwa,Donald Tsang
49,What was the nickname of Tom Cruises character in Top Gun?,history,Maverick,Goose,Iceman,Maverick,Viper
50,"What NBA team won their 16th NBA Championship title on June 8,1986?",history,Boston Celtics,Boston Celtics,Houston Rockets,L.A. Lakers,Chicago Bulls
51,Which of these songs was not on Bon Jovis chart-topping 1986 album Slippery When Wet?,history,Ill Be There for You,Ill Be There for You,Never Say Goodbye,Livin on a Prayer,Wanted Dead Or Alive
52,"When this significant event took place on January 28, 1986, students worldwide saw it on live television.",history,Space Shuttle Challenger explodes,A nuclear reactor at the Chernobyl nuclear plant explodes,Space Shuttle Challenger explodes,The United States Senate allows its debates to be televised,Pope John Paul II officially visits the Synagogue of Rome
54,Which one of these actors was not in the Academy Award winning Oliver Stone film Platoon?,history,Tom Cruise,Tom Berenger,Charlie Sheen,Johnny Depp,Tom Cruise
55,"On what album released in 1986 would I find the following lyrics:
When I was 17 I did what people told me,
Did what my father said and let my mother mold me",history,Control - Janet Jackson,True Stories - Talking Heads,Control - Janet Jackson,Raising Hell - Run DMC,True Colors - Cyndi Lauper
56,"What southern sitcom, which debuted in 1986, are the following characters from: Julia, Suzanne, Mary Jo, Charlene, Anthony and Bernice?",history,Designing Women,Designing Women,Mamas Family,Its A Living,The Golden Girls
57,This was an attempt to establish the use of the metric system in the United States. However it was not accepted and the US never converted.,history,The 1975 Metric Conversion Act,The 1975 Metric Conversion Act,IEEE Conversion RFC,The Common management interface protocol,ANSI Metric Conversions
58,"This suspension bridge collapsed due to resonance - a twisting pattern never seen before, took the bridge down.",history,The Tacoma Narrows Bridge,The John Hancock Bridge,Willamette River Pedestrian Bridge,The Tacoma Narrows Bridge,The Golden Gate Bridge
59,"In early 1985 the manufacturer of this drink changed the recipe of the product, but after months of complaints, it was forced by the consumers to restore the original formula.",history,Coca Cola,Coca Cola,Pepsi,Yoo-hoo,Dr. Pepper
60,"At the time, this was the most complex ship, employing safety measures unseen before.  She was double-bottomed and separated into 16 watertight compartments. Nevertheless, she sank on her maiden voyage.",history,Titanic,Titanic,Britanic,Andrea Doria,The Empress of Ireland
61,"This rap artist, born Stanley Kirk Burrell was known for his lavish tours and catchy hooks.  However, his attempted restyling as a gangsta-rapper was a failure",history,MC Hammer,MC Hammer,Marky Mark,Busta Rhymes,Vanilla Ice
62,"This aircraft was proposed by Boeing in the 80s, but never entered production due to excessive noise from its unducted fan engines and high production costs.",history,Boeing 7J7,Spruce Goose flying boat,Boeing 7J7,Boeing Business Jet,Boeing 737
63,"This tank was built during World War II, but had weight and speed issues.  It never saw battle.",history,Panzerkampfwagen VIII Maus,Panzerkampfwagen VIII Maus,Sturmpanzer IV Brummbär,M3A5 Grant,Heavy Tank Charron 2C
64,"This 15,000 ton, German-built ship maintained a route from Tallinn to Stockholm.  In 1994, it sunk to the bottom of the Baltic Sea due to a badly designed bow door.",history,Estonia Ferry,Estonia Ferry,Blak Bark of Ostend,Barge of Calais,Castor to Circe
65,Three of these political events occurred in the 80s. Which one happened earlier?,history,The Winter of Discontent in the UK,The Collapse of the Soviet Union,The USA invades Panama,The Winter of Discontent in the UK,The Velvet Revolution in Czechoslovakia
66,"All of these famous political leaders lost their power in the 80s, except one. Can you spot him?",history,Francois Mitterrand,Augusto Pinochet,Ceausescu,Francois Mitterrand,Gustav Husak
68,"Mel Gibson starred in all of the following four movies. However, only one of them was produced during the 80s.  Which one?",history,Lethal Weapon 2,Forever Young,Mad Max,Lethal Weapon 3,Lethal Weapon 2
69,The TV-series Taxi was first released during this period.,history,1970s,1990s,1960s,1970s,1980s
70,One of these TV productions was not released in the 80s.,history,Saturday Night Live,Dynasty,The Cosby Show,Saturday Night Live,L.A. Law
72,"What Celtic chieftain fought Julius Caesar in Gaul, in the first century B.C.?",history,Vercingetorix,Vercingetorix,Odoacer,Hasdrubal,Leonidas
73,What Merovingian became king in the fifth century A.D.?,history,Clovis,Arpad,Clovis,Ethelred,Belisarius
74,"Archaic French is still spoken in the area of this once French colony, lost to the British in 1763.",history,Quebec,Quebec,Senegal ( West Africa),Haiti,Cambodia
75,In what year did the French Revolution begin?,history,1789,1789,1693,1724,1637
76,In what year was Napoleon Bonaparte crowned emperor of France?,history,1804,1807,1804,1810,1801
77,In what year did the French pull out of Indochina?,history,1954,1949,1964,1954,1970
78,"What statesman became the first President, under the Fifth Republic of France, in 1959?",history,Charles De Gaulle,Albert Lebrun,Vincent Auriol,Charles De Gaulle,Rene Coty
79,In what year was Francois Mitterrand elected President of  France?,history,1981,1975,1987,1993,1981
80,What French monarch was known as the Sun King?,history,Louis XIV,Louis X,Charles VII,Louis XIV,Henry III
81,"Although he spent 32 years as a criminal, this Wild West rogue killed only a single person. He was mainly engaged in robbing banks and became the first criminal to use an automobile for his escape.",history,Henry Starr,Burt Alvord,Henry Starr,Cherokee Bill,Frank Canton
82,"This man killed his first victim at the age of 12. By the time he was 15 he had become an expert shot. As he was almost 6 feet tall, strong and quick in shooting, people were afraid of him. However, the $1,300 reward made some ordinary citizens work out an elaborate plan to capture him.",history,Cherokee Bill,Dutch Charley,Billy the Kid,Butch Cassidy,Cherokee Bill
83,"This famous outlaw was very friendly and most of his shooting was done in self defense. He became an outlaw after someone murdered his employer, Tunstall, whom he loved as a father. At Tunstalls funeral, this outlaw swore that he would kill every man who had been involved in the Tunstalls murder.",history,Billy the Kid,Jesse James,Billy the Kid,Juan Flores,Frank Jackson
84,"While in charge of the guardhouse at San Carlos, this outlaw left his post to chase a man whom he considered responsible for his fathers death. When he came back, he argued with his superior and shot him in the leg. Arizona territorial legislature offered a $5,000 cash reward, but he was never captured.",history,Apache Kid,Johnny Behind the Deuse,Pearl Hart,Apache Kid,Frank Jackson
85,"His first crime was breaking into a store and taking a pair of pants, leaving a message that he would pay later.  He went on to steal cattle from farmers, and later robbed the San Miguel Valley Bank robbery in Telluride, escaping with $20,000.",history,Butch Cassidy,Daniel Boone,Pancho Villa,Butch Cassidy,Buffalo Bill
86,"Although this criminal, who acted with his brother, would rob banks and trains, he was a favourite of the press of his day. In various journalistic materials he was often presented as the contemporary Robin Hood. It was a fact that he preferred to rob rich people, but it was simply because they had more money.",history,Jesse James,Jesse James,Bill Miner,Joaquin Murieta,Jim Reed
87,"After his father was killed, this man sought revenge. He joined Quantrills fighting force. It was reported that he often frothed at his mouth in his almost psychopathic rage in battles. Some sources say he had a silk string with knots for every shot Yankee.",history,William Bloody Bill Anderson,Jim Murphy,Billy the Kid,William Bloody Bill Anderson,Sundance Kid
88,"This man was known as the Mexican Robin Hood. He set up a band of 5 members, all with the same first name. His band is credited with stealing more than $100,000 in gold and over 100 horses.",history,Joaquin Murietta,Belle Star,Nathaniel Reed Texas Jack,George Newcomb Bitter Creek,Joaquin Murietta
89,"This criminal was active during the Gold Rush. He was famous for leaving poems in the place of the gold that he had stolen. He never robbed valuables from the passengers of the stagecoaches, he preferred treasure boxes.",history,Black Bart,Henry Clay White,Cyrus Skinner,Bob Younger,Black Bart
90,"This man was nicknamed the King of the Cowboys after he took part in the gun fight at the OK Corral in Tombstone, Arizona. When in 1879 he went West in Arizona, he achieved still more infamy, as the main antagonist of Wyatt Earp.",history,Johnny Ringo,Johnny Ringo,Tom Starr Uncle Tom,Jim Murphy,Lee H. Musgrove
91,"In August of 2005, a Category 4  hurricane devastated the Gulf coast of the U.S.,  leaving much of the city of New Orleans flooded and without power.  Name the hurricane responsible for this widespread swath of destruction.",history,Katrina,Rita,Louise,Katrina,Isabella
92,"On May 22, 1987, a multiple vortex tornado devastated this small Texas town.",history,Saragosa,Saragosa,Texarcico,Northumberland,Zeetop
93,"The towns of Dana, Enfield, Greenwich, and Prescott, Massachusetts were all disincorporated on April 28, 1938, because of the following.",history,The land was needed for a large reservoir.,"It was agreed upon by a consensus of the 4 towns populace, to disincorporate due to flagging economic conditions.","All 4 towns were destroyed in a massive fire, and the area was rebuilt as a distant suburb of Boston.",The land was needed for a large reservoir.,A major railroad  company secured rights to the land and built a rail line through the heart of all 4 towns.
94,"Jonestown, Guyana, home to the Peoples Temple religious cult,  was virtually wiped off the map in November of 1978, when the cult leader induced 900 of his followers to drink cyanide laced Kool - Aid.  What was this cult leaders name?",history,Rev. Jim Jones,Rev Dr. Parker Smalling,Rev. Alloyuishius Gant,Rev. Jim Jones,Rev. Donald Dunforth
95,"Muscogee, Florida was once a thriving village located 20 miles NW of Pensacola, Florida.  It was founded in 1857, yet by 1928 it was all but abandoned.  What was the cause of this towns demise?",history,"It was a lumber mill town, and in 1928, the mills were sold.","It was a haven for circus performers until 1925, when the circus left for Sarasota, and the performers followed.","It was a lumber mill town, and in 1928, the mills were sold.","It was a town largely dependent on the fishing industry, which experienced an economic downturn in the early 1920s.",It was flooded to make way for a canal which is part of the Inter - Coastal Waterway.
98,"New Burlington, Ohio was once a community located in NW Clinton County, Ohio.  It was flooded when the U.S. Government  flooded Caesar Creek in order to construct a reservoir.  When did this take place?",history,1970s,1960s,Late 1880s,1970s,1930s
99,"Achilles, Kansas was a thriving town whose heyday ran from the 1870s to approximately 1915.   By the year 1930, it was all but defunct.  What was responsible for this towns demise?",history,It was bypassed by the railroad.,It became one of the casualties of The Great Depression.,"It was largely devastated by a tornado in late 1915, and never recovered economically.",It was bypassed by the railroad.,"It was requisitioned by the U.S. Army Corp. of Engineers, and slated to be flooded  in 1930."
100,"In 1988, this talk show host once brought out 67 pound of animal fat to show how much weight they lost.",history,Oprah Winfrey,Oprah Winfrey,Johnny Carson,David Letterman,Rikki Lake
101,This musician sang about an Uptown Girl in 1983.,history,Billy Joel,Bryan Adams,Paul Simon,Elton John,Billy Joel
104,This group is known for their 1984 song Were Not Gonna Take It.,history,Twisted Sister,Quiet Riot,Ratt,Rough Cutt,Twisted Sister
105,What term did hippies use to refer to the institutions and structures they rejected?,history,The Establishment,The Power,The System,The Reign,The Establishment
106,"The term Summer of Love, associated with the hippie counterculture movement, refers to the summer of what year?",history,1967,1965,1971,1970,1967
107,"Which of these artists did not participate in the Woodstock festival, an event regarded as the high point of the hippie movement?",history,Bob Dylan,Jimi Hendrix,Bob Dylan,Joe Cocker,Janis Joplin
108,"In this 1979 movie, Claude Bukowski, a boy from Oklahoma, visits New York City and befriends a group of hippies before being sent to an Army training camp.",history,Hair,The Misfits,Hair,The Strawberry Statement,Yellow Submarine
109,"Which American novelist, held Acid Tests in the 1960s, together with his circle of friends, known as the Merry Pranksters?",history,Ken Kesey,Norman Mailer,Kurt Vonnegut,Joseph Heller,Ken Kesey
110,The Free Speech Movement was a student protest that began in 1964 on the campus of which university?,history,"University of California, Berkeley","University of California, Berkeley","California State University, Los Angeles","Anderson University, Indiana",Florida International University
111,Which British band released the hit single Hippy Hippy Shake in 1963?,history,The Swinging Blue Jeans,The Swinging Blue Jeans,The Kinks,The Rolling Stones,The Hollies
112,Which of these 1960s famous hippie gatherings did not take place in San Francisco?,history,Nambassa,The Human Be-In,The Summer of Love,Nambassa,The Love Pageant Rally
113,"Which 1970 book includes advice on such topics as growing marijuana, starting a pirate radio station and stealing food?",history,Steal This Book,To Sail Beyond the Sunset,Stranger in a Strange Land,The Cat Who Walks Through Walls,Steal This Book
114,"In 1969, John Lennon and Yoko Ono held two, week-long Bed-Ins for Peace. In which city was their first Bed-In?",history,Amsterdam,Amsterdam,Los Angeles,Montreal,New York City
115,"The Vietnam War is viewed not just as a conflict between South Vietnam and North Vietnam, but as a conflict of ideology between the communist block and western values. Which of these countries did not belong to the coalition of forces that supported the western-oriented, South Vietnam?",history,The United Kingdom,The United Kingdom,Australia,New Zealand,South Korea
116,"This Academy Award-winning film, directed by Oliver Stone, is based on the autobiographical book of Ron Kovic, a Vietnam War veteran, who became an anti-war activist.",history,Born on the 4th of July,Born on the 4th of July,Platoon,Apocalypse Now,Hair
117,"This is the code name of the bombing operation in North Vietnam, carried out by the US armed forces, which lasted between 1965 and 1968.",history,Operation Rolling Thunder,Operation Farmgate,Operation Rolling Thunder,Operation Urgent Fury,Operation Arc Light
118,This US President introduced his policy of âvietnamizationâ- enabling the South Vietnamese to take more responsibility for fighting the war on their own.,history,Richard Nixon,Lyndon Johnson,Richard Nixon,Harry Truman,John Kennedy
119,"This communist offensive, launched on January 30, 1968, which comprised attacks on major cities and military bases throughout South Vietnam, was named after an important Vietnamese public holiday.",history,Tet Offensive,Tet Offensive,Ram offensive,Ngay Offensive,Ong offensive
120,"Shooting at anti-war demonstrators at this university on May 4, 1970, triggered a nationwide student strike across America.",history,Kent State University,University of Maryland,Western Washington University,Kent State University,University of Montana
121,"Name the route running from South Vietnam through Laos and Cambodia into North Vietnam, used by North Vietnamese for sending soldiers to the south and for supplying the NLF (National Liberation Front ).",history,Ho Chi Minh Trail,Bao Dai Trail,Diem Trail,Chi Thien Trail,Ho Chi Minh Trail
122,This American diplomat and statesman served as a National Security Advisor and later as a Secretary of State. He was awarded the 1973 Nobel Peace Prize for his role in negotiating a ceasefire and US withdrawal from the war in Vietnam.,history,Henry Kissinger,Dean Rusk,Henry Kissinger,Robert McNamara,William Westmoreland
123,"This American was sentenced to life in prison, because in 1968 he led the My Lai massacre of Vietnamese civilians, including women, children and elderly men.",history,William Calley,Clark Clifford,John Kerry,William Calley,Ernest Medina
126,"What Union General in charge was defeated during the First Battle of Bull Run, the first major land battle of the American Civil War?",history,McDowell,Fremont,Hunter,McClellan,McDowell
127,"During the American Civil War, in April 1862, Union Flag Officer David Farragut, who was in command of the West Gulf Blockading Squadron, took control of which vital port of the South?",history,New Orleans,Tampa,New Orleans,Mobile,Charleston
128,"After the death of this Confederate general on on May 10, 1863, General Lee remarked, I have lost my right arm.",history,Jackson,Pickett,Jackson,Boregaurd,Armstrong
129,What African American Regiment helped to assault Fort Wagner in South Carolina during the American Civil War?,history,54th Massachusetts,31st Connecticut,22nd Pennsylvania,52nd New York,54th Massachusetts
130,"Which general commanded the Confederate forces at the Battle of Gettysburg, that started on July 1, 1863?",history,Robert E. Lee,George Meade,George Pickett,Robert E. Lee,James Longstreet
131,"Ulysses S. Grant and Robert E. Lee served together in which military conflict, regarded as a prelude to the American Civil War?",history,Mexican War,Indian War,Mexican War,Harpers Ferry,Bleeding Kansas
132,"What play was President Lincoln watching at Fords Theatre, when he was assassinated by a Southern sympathizer from Maryland?",history,Our American Cousin,Othello,Our American Cousin,Our Fair Lady,Macbeth
133,"The Battle of Worcester, the Battle of Hopton Heath, and the Battle of Winceby are just three of the battles during this civil war.",history,English Civil War,Irish Civil War,English Wars of the Roses,American Civil War,English Civil War
134,"The Battle of Grunwald, the Battle of Chojnice, and the Battle of Swiecin are three battles fought during this war.",history,Thirteen Years War,Breton War of Succession,Onin War,War of Scottish Independence,Thirteen Years War
135,"The Battle of Ludford Bridge, the First Battle of St Albans, and the Battle of Blore Heath are three battles fought during this war.",history,Wars of the Roses,Norman Conquest,Hundred Years War,Swabian War,Wars of the Roses
136,"The Battle of Sandepu, the Battle of Mukden, and the Battle of Dairen are just three of the battles fought during this war.",history,Russo-Japanese War,Russo-Japanese War,Long March in China,Second Sino-Japanese War,First Sino-Japanese War
137,"The Battle of Passchendaele, the Battle of Cer, and the Battle of the Frontiers were fought during this war.",history,WWI,WWI,Turco-Italian War,Polish-Soviet War,Czechoslovak-Polish War
138,"The Battle of El Alamein, the Battle of Narvik, and the Battle of Crete were fought during this war.",history,WWII,WWI,WWII,Great Poland Uprising,Polish-Lithuanian War
139,"The Battle of the Nile, the Battle of Radzyn, and the Battle of Aspern-Essling.",history,Napoleonic Wars,The Great Game,Napoleonic Wars,Wars of Scottish Independence,Ten Great Campaigns
140,"The Battle of Custoza, the Battle of Palestro, and the Battle of Calatafimi.",history,Italian Independence wars,Italian Independence wars,Turco-Italian War,Italian Wars,Second Italo-Abyssinian War
141,"The Battle of Uji, the Battle of Dan-no-ura, and the Battle of Muroyama were all fought during this war.",history,Genpei War,First Sino-Japanese War,Genpei War,Wars of Sengoku Period in Japan,Russo-Japanese War
142,"The Battle of Ap Bac, the Battle of Dak To, and the Battle of Hamburger Hill.",history,Vietnam War,Korean War,Ogaden War,Vietnam War,Indonesia-Malaysia confrontation
143,"The allies of WW2 initially consisted of three countries, which were later joined by others. Which of these countries never joined the Allies?",history,Japan,Japan,Italy,China,France
144,"Which was the formal reason for the end of World War II, on September 2, 1945?",history,The formal surrender of Japan,The surrender of Germany,The number of civilians that had died,The usage of an increased number of atomic weapons,The formal surrender of Japan
146,"In which month of 1940 did the Soviet Union occupy Latvia, Lithuania, and Estonia?",history,June,May,June,August,September
147,"On 28 October 1940, launching the invasion from bases in Albania, Italy invaded this country.",history,Greece,Greece,Bulgaria,Checzoslovakia,France
148,"Nazi Germanys attempt at invading the Soviet Union, known as Operation Barbarossa, started on what date?",history,"22 June, 1941","22 July, 1941","22 June, 1941","22 June, 1940","22 August, 1941"
149,"This strategic meeting between the heads of the governments of the United Kingdom and the United States took place from December 22, 1941 to January 14, 1942.",history,The Arcadia Conference,The Arcadia Conference,The Yalta Conference,The Allied Conference,The Strategic Conference
150,"What happened on July 14,1789?",history,A mob of French peasants stormed the Bastille and started the French Revolution,Japan opened ports to international shipping,Argentina gained independence from Spanish rule,The American Revolution ended,A mob of French peasants stormed the Bastille and started the French Revolution
151,"Which of these events occurred on November  22, 1963?",history,John F. Kennedy was assassinated in Dallas,The United States bombed North Vietnam for the first time,Robert F. Kennedy was assassinated in Los Angeles,John F. Kennedy was assassinated in Dallas,The Beatles performed first concert in the US
152,"The date November 11, 1918 is famous with what event?",history,World War I ended,The first case of Asian flu was reported in the USA,Marie Curie discovered Radium,World War I ended,Adolf  Hitler was born
154,"What happened on July 4, 1826?",history,Both Thomas Jefferson and John Adams died,Andrew Jackson resigned as President,"Russia declared war on Turkey, starting the Crimean War",The Mexican army crossed into Texas,Both Thomas Jefferson and John Adams died
155,"What historical event occurred on March 15, 44 BC?",history,Julius Caesar was assassinated by members of the Roman senate,Julius Caesar was assassinated by members of the Roman senate,The first calendar was started by the Mayans in Central America,Korea gained independence from Japan,Mark Antony married Cleopatra
156,"Which of these events took place on June 18, 1815?",history,Napoleon was beaten at Waterloo,The noble gas Neon was discovered,Russia claimed the territory of Alaska,Napoleon was beaten at Waterloo,Andrew Jackson and his troops defeated the British at New Orleans
157,"Which of the following events happened on March,1692?",history,The Salem witch trials began in New England,"An earthquake in Mexico killed over 10,000",The Salem witch trials began in New England,General Braddock was killed by the French,The Indians sold Manhattan Island to the Dutch
158,"The date July 2, 1937 is remembered with what event?",history,Amelia Earhart and her co-pilot disappeared flying across the Pacific Ocean,"Japan bombed Shanghai, off the coast of China, killing over 2,000",Amelia Earhart and her co-pilot disappeared flying across the Pacific Ocean,The Spanish Civil War ended,Charles Lindbergh crossed the Atlantic
159,"Which of these events occurred on December 29, 1170 AD?",history,"Thomas Becket, Archbishop of Canterbury, was slain in his church","Thomas Becket, Archbishop of Canterbury, was slain in his church",Mongols crossed the Danube river into Hungary,Danish ships landed at Greenland and claimed it as a province,"Black Plague began in Genoa, Italy"
160,With what nations military did the US conduct desert exercises in 1981?,history,Egypt,Iraq,Saudi Arabia,Egypt,Iran
161,The US mining of what nations harbors created a congressional frenzy in April of 1984 and was  a case heard by the International Court of Justice?,history,Nicaragua,Japan,Qatar,Panama,Nicaragua
163,In what state was Claus von Bulow prosecuted?,history,Rhode Island,Rhode Island,Arkansas,Illinois,Virginia
164,President Reagan was shot in 1981 as he left this hotel.,history,The Washington Hilton,"Ritz-Carlton, Washington DC",The Washington Hilton,The St. Regis Washington DC,"Park Hyatt, Washington"
165,"By 1983, less than 10% of all movie theaters in America had only one of these.",history,Screen,Stadium seating theater,Ticket register,Concession stand,Screen
166,"What major comic book character underwent a costume change in 1984, wearing a suit that was black and white instead of blue and red?",history,Spiderman,Superman,Spiderman,Captain America,Batman
168,The Battle of Gettysburg was fought on these dates.,history,"July 1-2-3, 1863","July 1-2-3, 1863","June 28-29-30, 1863","September 4-5-6, 1863","July 10-11-12, 1863"
169,Robert E. Lee commanded the Confederate army at Gettysburg. Who led the Union forces?,history,George Meade,George Meade,Winfield Scott,Daniel Sickles,Ulysses Grant
170,Which of these landmarks could not be found on the Gettysburg battlefield?,history,Hells Half Acre,Little Round Top,Devils Den,Hells Half Acre,Seminary Ridge
171,This twenty-year-old was the only civilian killed during the Battle of Gettysburg.,history,Jennie Wade,Benjamin Bryan,Michael Cordori,Wesley Culp,Jennie Wade
172,"This 70-year-old citizen of Gettysburg grabbed his rifle during the first day of the battle and joined the Unions Iron Brigade. Not surprisingly, he was the only civilian to take part in the battle itself.",history,John Burns,Donald Pfanz,Richard Sommers,John Proctor,John Burns
