,question,category,answer,choices/0,choices/1,choices/2,choices/3
12,"Audie Desbrow, Jack Russell, Michael Lardie, Tony Montana, Mark Kendall",music,Great White,Motley Crue,Poison,Great White,Whitesnake
13,"Troy Luccketta, Brian Wheat, Frank Hannon, Tommy Skeoch, Jeff Keith",music,Tesla,Metallica,Iron Maiden,Tesla,Twisted Sister
14,"James Hetfield, Lars Ulrich, Kirk Hammett, Jason Newsted",music,Metallica,Metallica,Metal Church,Twisted Sister,Testament
15,"Every breath you take
Every move you make
Every bond you break
Every ...",music,step you take,cake you bake,time you shake,step you make,step you take
16,"Well I guess it would be nice
If I could touch your body
I know not everybody
...",music,Has got a body like you,Does the dishes like you,Has got a body like you,Has such a body,Has it like you
17,"Everybodys talking all this stuff about me
Why dont they just let me live (Tell me why)
I dont need permission
...",music,Make my own decisions oh,Dont you know my precision oh,Make my own decisions oh,Ready for collision oh,This really is my vision oh
18,"If I fail, if I succeed
At least Ill live as I believe
No matter what they take from me
...",music,They cant take away my dignity,They cant take away my beat,They cant make me lose my dignity,I will still be,They cant take away my dignity
19,"Sleight of hand and twist of fate
On a bed of nails she makes me wait
And I wait without you
With or without you
With or without you
Through the storm we reach the shore
You give it all ...",music,but i want more,and i feel sure,and then some more,but im not sure,but i want more
20,"That its only the thrill
Of boy meeting girl
Opposites attract
Its physical
Only ...",music,logical,possible,biological,logical,physical
21,"I have seen the writing on the wall.
Dont think I need anything at all.
No! dont think Ill need anything at all.
All in all it was all just ...",music,bricks in the wall,tracks in the snow,bricks in the wall,flies on the wall,blocks in the wall
22,"Gonna give you all my love, boy
My fear is fading fast
Been saving it all for you
cause ...",music,only love can last,youre my last,it is all past,only love can last,a spell was cast
23,"And shell tease you
Shell unease you
All the better just to please ya
Shes precocious, and she knows just
What it takes to ...",music,make a pro blush,make you crash,make a pro blush,make you rush,win your trust
24,"Burning the ground I break from the crowd
Im on the hunt Im after you
I smell like I sound, ...",music,Im lost and Im found,because Im a hound,I feel that you are around,my heart was just found,Im lost and Im found
25,This was the first digitally recorded track to become a hit in 1980.,music,Mirror in the Bathroom,Dirk Wears White Soxs,Mirror in the Bathroom,We Dont Talk anymore,Zenyatta Mondatta
26,This song was the top single in 1981.  This song broke the US Top 100 chart longevity record by spending 106 weeks on it.,music,Tainted Love,Tainted Love,Dead Ringer,Oh Julie,One Day in Your Life
27,This hit of Olivia Newton-John and its video made athletic wear fashionable in 1981.,music,Physical,Karma Chameleon,Synchronicity,Physical,Blue Monday
28,In 1983 Michael Jackson released this album which sold more than 25 million copies.,music,Thriller,Dangerous,Thriller,Blood on the Dance Floor,Bad
29,This was the first western group to perform in China. They went there in 1985.,music,Wham!,Wham!,The Bee Gees,The Smiths,Dire Straits
30,In 1987 this album of Guns N Roses made huge success on both sides of the Atlantic. In the UK it stayed on the charts for 131 weeks and in the US it was on for 147 weeks.,music,Appetite For Destruction,14 Years,Lose Your Illusion I,Lose Your Illusion II,Appetite For Destruction
31,"In 1981 MTV was first shown in this city, and the first video to be broadcasted was Video Killed the Radio Star by The Buggles.",music,New York,Miami,New York,San Francisco,Washington
32,In 1988 this song by Bobby McFerrin became one of the most overplayed songs of the century.,music,"Dont Worry, Be Happy","Dont Worry, Be Happy",Circlesongs,Beyond Words,Bang! Zoom
33,This was the last number 1 album of Police with the hit single Every breath you take. It appeared on the UK charts in 1983.,music,Synchronicity,Synchronicity,Zenyatta Mondatta,Reggatta De Blanc,Ghost In The Machine
34,"This was probably one of the most shocking deaths during the 80s. On December 8, 1980 this member of the Beatles was shot.",music,John Lennon,Paul McCartney,John Lennon,Ringo Starr,George Harrison
35,"Six oclock already I was just in the middle of a dream
I was kissing Valentino by a crystal blue Italian stream",music,Bangles,Bangles,Bananarama,Go-Gos,Heart
36,"And there are voices that want to be heard
So much to mention but you cant find the words",music,Roxette,Kim Carnes,Roxette,Bangles,Blondie
37,"Fab Five Freddy told me everybody was fly
DJ spinning I said, My, My",music,Blondie,Blondie,Go-Gos,Annie Lennox,Cyndi Lauper
38,"Lying in my bed I hear the clock tick and think of you
Caught up in circles confusion is nothing new",music,Cyndi Lauper,Kim Carnes,Bananarama,Roxette,Cyndi Lauper
39,"Goddess on a mountain top burning like a silver flame
The summit of beauty and love and Venus was her name",music,Bananarama,Go-Gos,Roxette,Bananarama,Bangles
40,"Then it happened one day, we came round the same way
You can imagine his surprise when he saw his own eyes
I said Please, please understand
Im in love with another man",music,Heart,Cyndi Lauper,Heart,Blondie,Bangles
41,"Show me a smile then,
Dont be unhappy, cant remember
When I last saw you laughing",music,Cyndi Lauper,Annie Lennox,Pat Benetar,Cyndi Lauper,Blondie
42,"We are young, heartache to heartache we stand
No promises, no demands",music,Pat Benatar,Kim Carnes,Blondie,Pat Benatar,Cyndi Lauper
43,"Do you hear them?
They talk about us
Telling lies but thats no surprise",music,Go-Gos,Roxette,Bangles,Bananarama,Go-Gos
44,What country sensation made her acting debut in Tremors?,music,Reba McEntire,Dolly Parton,LeAnn Rimes,Tanya Tucker,Reba McEntire
45,"What county singer starred in the move,The Gambler?",music,Kenny Rogers,Travis Trit,George Jones,Kenny Rogers,Dwight Yoakam
46,This country singer made her debut in Nine to Five.,music,Dolly Parton,Reba McIntire,Tanya Tucker,Dolly Parton,Naomi Judd
47,"This country star, who starred in Slingblade, has been to Hollywood more than once.",music,Dwight Yoakam,Willie nelson,Randy Travis,George strait,Dwight Yoakam
48,"This country star has acted with some of the best, as he did in the movie, Black Dog.",music,Randy Travis,Willie nelson,Travis Tritt,Randy Travis,Tim McGraw
49,"This country singer preached a great sermon in the movie, The Redheaded Stranger.",music,Willie Nelson,Travis Tritt,Johnny Cash,Randy Travis,Willie Nelson
50,"This actress portrayed country singer Patsy Cline in the movie, Sweet Dreams.",music,Jessica Lange,Jessica Lange,Beverly DAngelo,Reba McIntire,Sissy Spacek
51,"This country artist sang his heart out in the motion picture, Pure Country.",music,George Strait,Travis Tritt,Tim McGraw,Alan Jackson,George Strait
52,What country music singer and songwriter made an Oscar winning performance in Alice Doesnt Live Here Anymore?,music,Kris Kristofferson,Waylon Jennings,Willie Nelson,Glen Campbell,Kris Kristofferson
53,"What country singer plays Dr. Clint Cassidy on TV show, Doc?",music,Billy Ray Cyrus,Billy Ray Cyrus,Randy Travis,Travis Tritt,George Strait
54,"We did not see him, but this country music singer was the balladeer for the The Dukes of Hazzard TV series.",music,Waylon Jennings,Willie Nelson,Kris Kristofferson,Johnny Cash,Waylon Jennings
55,What country singer made his acting debut in Black Cloud?,music,Tim McGraw,Tim McGraw,Travis Tritt,Willie Nelson,Dwight Yoakam
56,"Who played country singer, Hank Williams Jr. in Living Proof: The Hank Williams Jr. Story (1983) (TV)?",music,Richard Thomas,George Hamilton,Richard Thomas,Kurt Russell,David Keith
57,"Who played country music legend, Hank Williams Sr. in Your Cheatin Heart (1964)?",music,George Hamilton,George Hamilton IV,Richard Thomas,George Hamilton,Travis Tritt
58,This actress played Loretta Lynn in Coal Miners Daughter (1980).,music,Sissy Spacek,Dolly Parton,Sissy Spacek,Beverly DAngelo,Jessica Lange
59,"Who played with John Wayne in the 1969 motion picture, True Grit?",music,Glen Campbell,Kris Kristofferson,Glen Campbell,Travis Tritt,Mel Tillis
60,"This country singer played in the 2004 remake of  the 1975 movie, The Stepford Wives, a story about 1950s housewives.",music,Faith Hill,Faith Hill,Tanya Tucker,Reba McIntire,Wynona Judd
61,Which movie is this soundtrack from?,music,Blues Brothers,Blues Brothers,Gangsters,Scarface,Mafia
62,"In 1968, Janis Joplin recorded this song that begins with the line Sittin down by my window, Honey, lookin out at the rain.",music,Ball and Chain,Turtle Blues,Piece of My Heart,Ball and Chain,Combination of the Two
63,"This 1967 hit that opens with the line You know that it would be untrue, you know that I would be a liar, was recorded by The Doors.",music,Light My Fire,Touch Me,Love Her Madly,People Are Strange,Light My Fire
64,"Seattle-born Jimi Hendrix recorded this 1968 song that contains the lyrics: There must be some kind of way out of here, said the joker to the thief.",music,All Along the Watchtower,Foxey Lady,All Along the Watchtower,Are You Experienced?,Purple Haze
65,"This song, released in 1967 by the group Steppenwolf from Toronto, Canada starts with the line Get your motor running, head out on the highway.",music,Born to Be Wild,Born to Be Wild,Screaming Night Hog,Magic Carpet Ride,Rock Me
66,"Which song, released by The Rolling Stones in 1965, contains the following lyrics: I live in an apartment on the ninety-ninth floor of my block?",music,Get Off of My Cloud,Honkey Tonk Woman,Gimme Shelter,Brown Sugar,Get Off of My Cloud
67,"Which song, released by The Who in 1965 begins with the lyrics: People try to put us down, just because weve been around?",music,My Generation,My Generation,Magic Bus,Behind Blue Eyes,Pinball Wizard
68,"This song, included in the 1977 album by Fleetwood Mac, opens with the following lines: Now here you go again. You say you want your freedom.",music,Dreams,The Chain,Say You Love Me,Dreams,Tusk
69,"In 1965, The Beatles sang the lyrics, I think Im gonna be sad, I think its today, yeah, that come from which song?",music,Ticket To Ride,Strawberry Fields Forever,Magical Mystery Tour,Norwegian Wood,Ticket To Ride
70,"On a dark desert highway, cool wind in my hair is the opening line of which 1976 song, recorded by The Eagles?",music,Hotel California,Tequila Sunrise,Life in the Fast Lane,Hotel California,Witchy Woman
71,"This hit, recorded in 1970 by Led Zeppelin, begins with the lyrics: We come from the land of the ice and snow, from the midnight sun where the hot springs blow.",music,The Immigrant Song,Whole Lotta Love,The Immigrant Song,Good Times Bad Times,Black Dog
72,"What 80s song are these lyrics from?
When a problem comes along, you must whip it!",music,Whip It  by Devo,"Why Not Whippet, by Slim Whitman the Whipettes",Whipped Again  by Musical Youth,Whip It  by Devo,Whip Dreams by Tangerine Dream
73,"The following lyrics are from which 80s song and performer?
I got my first real six-string, bought it at the five-and-dime",music,Summer of 69 by Bryan Adams,Summer of Unleaded by John Gold,Guitar Hog by Pluck This String,Summer of 69 by Bryan Adams,Summer of Love by Goldenseal
74,"Which 80s song and performer are these lyrics from?
Red , gold and green. Red, gold and green!",music,Karma Chameleon by Boy George and Culture Club,Teen Design by Debbie Gibson,Kratwerk Kolors by The Mannheim Steamroller,Karma Chameleon by Boy George and Culture Club,The Colors Song by Kajagoogoo
75,Which of the following lyrics are not from a song written in the 1980s?,music,"Hotel, motel, Holiday Inn!","Hotel, motel, Holiday Inn!","Our house, in the middle of our street.","I want to tell her that I love her, but the point is probly moot!",I bless the rain down in Africa!
76,"Name the song title and performer of these 80s lyrics:
Hoping to find some old forgotten words or ancient melodies.",music,Africa by Toto,Johnny Loves Chachee!  by Bergman,Shout  by A-ha!,Africa by Toto,Alive and Kickin by Simple Minds
77,"What 80s song are these lyrics taken out of?
The plan was we would share this feeling just between ourselves.",music,Let the Music Play by Shannon,Synchronicity by Sting,Let the Music Play by Shannon,True by Spandau Ballet,Thriller by Michael Jackson
79,"In 1973 this singer, comedian and actress recorded The Night the Lights Went Out in Georgia, a song written by her husband, Bobby Russel.",music,Vicki Lawrence,Carol Burnett,Phyllis George,Dorothy Lyman,Vicki Lawrence
80,"This group, formed in 1973 in Edinburgh, Scotland, had huge chart success in the UK with the song entitled Magic.",music,Pilot,The Poppy Family,Pilot,Bay City Rollers,Nazareth
81,"This pop singer and songwriter, born in Montreal, Canada performed Rock Me Gently, a  #1 hit single on the American charts in 1974.",music,Andy Kim,Maria Muldaur,Tiny Tim,Donny Hathaway,Andy Kim
82,"This band, formed in Nottingham in 1969, recorded the song The Night Chicago Died, which starts with the following words: My daddy was a cop on the east side of Chicago.",music,Paper Lace,Bo Donaldson and The Heywoods,Jigsaw,Terrry Jacks,Paper Lace
83,"This Brazilian singer and songwriter became famous with his 1975 hit, Feelings.",music,Morris Albert,Dan Hill,Shaun Cassidy,Morris Albert,Rupert Holmes
84,"This group, formed in 1969 at Rutgers University in New Jersey, had one #1 hit in 1972 -- Brandy (Youre A Fine Girl).",music,Looking Glass,Looking Glass,Foghat,Sweet,Fleetwood Mac
85,"This band, formed in New York City, became famous in 1973 with the hit single Dancing in the Moonlight.",music,King Harvest,King Vitamin,Krokus,King Harvest,King Crimson
87,"This group released a cover of Brother Louie, a song about an interracial love affair, which begins with the words: She was black as the night, Louie was whiter than white.",music,The Stories,The Stories,Hot Tuna,Thin Lizzy,10cc
88,"This Grammy-winning American songwriter and singer released her most successful single, At Seventeen in 1975, a song about teenage fears and anxiety.",music,Janis Ian,Jean Knight,Phoebe Snow,Melba Moore,Janis Ian
89,"Busted flat in Baton Rouge
Waiting for a train
I was feeling nearly as faded as my _______",music,Jeans,Soul,Jeans,Flower,Hair
90,"The worst is over now
And we can breathe again
I wanna hold you high and steal ______",music,my pain,your wallet,my pain,your pants,your car
91,"Call you up in the middle of the night
Like a firefly without any light
You were there like a ________",music,blowtorch burnin,flashlight shinin,blowtorch burnin,crying on the stair,madman screamin
92,"Nothings true and nothings right
So let me be alone tonight
Cause you cant change the way I am
Are you ___________",music,strong enough to be my man,ever gonna leave me alone,strong enough to be my man,going to leave me here,in my room again
93,"Ive seen your face a thousand times
Every day weve been apart
And I dont care about ________",music,"the sunshine, yeah","the weather, yeah","deception, yeah","the bad guys, yeah","the sunshine, yeah"
94,"Say it aint so
I will not go
Turn the lights off
______________",music,Carry me home,Its too bright in here,Leave me alone,Carry me home,Lets go to bed
95,"Ones got a weasel and the others got a flag
Ones on the pole shove the other in a  _______.",music,bag,bag,rag,jag,mag
96,"Im so happy
Cause today I found my friends theyre in my head
Im so ugly
Thats okay cause so ________",music,are you,Im not scared,is my sister,are you,is your mom
97,"I am a little bit of loneliness a little bit of disregard
But thats okay cause I cant help the fact
That everyone can see these ___________",music,scars,cars,wars,scars,bars
98,"Youll get the message by the time Im through
When I complain about ________",music,me and you,that stinky shoe,the boys in blue,me and you,how much I grew
99,"This band from the 80s, formed in Leeds, England, had a huge hit in 1981 with Tainted Love.",music,Soft Cell,A-Ha,Soft Cell,Depeche Mode,Tears For Fears
100,"What British one-hit wonder group struck gold in 1991 with their #1 hit the U.S, Im Too Sexy?",music,Right Said Fred,The Tubes,Flock of Seagulls,Right Said Fred,Siouxee and The Banshees
101,This American-born singer had a #1 hit in the U.S  with The Loco-Motion.,music,Little Eva,Lucretia MacEvil,Little Eva,Beatrix Potter,Lesley Gore
102,"This American-born one-hit wonder singer/rapper had a #1 hit in 1990 with the song Ice, Ice Baby.",music,Vanilla Ice,Sir- Mix - Alot,Vanilla Ice,Kid Rock,Flynilla Ice
103,Which American-born  one-hit wonder singer/actress had a huge hit in 1982 with Mickey?,music,Toni Basil,Cyndi Lauper,Laura Nyro,Phoebe Snow,Toni Basil
104,This Jamaican-born singer struck gold in 1974 with his #1 U.S/U.K single Kung-Fu Fighting.,music,Carl Douglas,Carl Weathers,Carl Douglas,Carl Thomas,Fred Douglas
105,This American-born one-hit wonder singer had a #5 hit in the U.S. in 1967 with San Francisco (Be Sure to Wear Flowers In Your Hair).,music,Scott McKenzie,Scott McKenzie,Peter Tork,Desi Arnaz Jr.,John Phillips
106,Which Grammy Award-winning singer recorded the huge 1991hit Walking in Memphis?,music,Marc Cohn,Benny Mardones,Norman Greenbaum,Marc Cohn,Curtis Stigers
107,This one-hit wonder rapper/producer hit the big time in 1992 with Baby Got Back.,music,Sir Mix-a-Lot,MC Serch,MC Hammer,Sir Mix-a-Lot,Gerardo
108,This American one-hit wonder duo struck it rich in 1969 with their U.S  #1 hit In the Year 2525.,music,Zager  Evans,Chad  Jeremy,Zager  Evans,Peter  Gordon,Proctor  Gamble
109,"This Canadian band came out with the song Safety Dance, which after being released in 1982 in the USA, soared to the top of the billboard charts.",music,Men Without Hats,Men Without Hats,The Tubes,Asia,Flock of Seagulls
110,"The song Pac Man Fever was created after the video game Pac Man, which was a craze that swept the USA in the 80s. Who recorded the song in 1982?",music,Buckner and Garcia,Buckner and Garcia,Rupert Holmes,Ashford and Simpson,Split Enz
111,"This singer performed the song Never Gonna Give You Up, which after being released in 1987, spent five weeks at the top of the British charts.",music,Rick Astley,David Lee Roth,Timmy T.,John Cougar,Rick Astley
112,"In 1982 this progressive rock group released Heat Of The Moment, a song that reached #4 on US charts.",music,Asia,Genesis,Toto,Survivor,Asia
113,This Australian reggae-influenced rock band released their debut album Business As Usual in 1982.,music,Men At Work,Culture Club,Kajagoogoo,Men Without Hats,Men At Work
114,"This Guyana-born musician released the song Electric Avenue which, in 1983, became both U.S. and UK number 2?",music,Eddy Grant,Eddy Grant,Bob Marley,Ziggy Marley,Robbie Shakespeare
115,"This African American soul singer released the 1985 album Rock Me Tonight, which contains two Top 20 songs, You Are My Lady and Rock Me Tonight ( for Old Times Sake).",music,Freddie Jackson,Billy Ocean,Jermaine Jackson,Peabo Bryson,Freddie Jackson
116,"This RB and dance music singer recorded her first album at the age of 12. The album, produced and arranged by  Van McCoy featured the disco tune When Youre Young and in Love.",music,Stacy Lattisaw,Cyndi Lauper,Stacy Lattisaw,Stacy Q,Pebbles
117,"This British pop-reggae band recorded the hit Pass the Dutchie, one of the best-selling singles of 1982.",music,Musical Youth,New Edition,Musical Youth,Boyz to Men,The Jacksons
118,"In 1987 this rock-jazz-pop band released their debut album entitled Its Better To Travel , which included the single Breakout.",music,Swing Out Sister,Will To Power,Swing Out Sister,The Pet Shop Boys,Shakespeares Sister
119,"Jody Watley was a part of this disco-driven group, founded in the late 70s.",music,Shalamar,K. C and The Sunshine Band,Chic,Shalamar,Mary Jane Girls
120,"Peter Wolf played with this popular rock and roll band in the 70s, that moved toward a more pop-influenced style in the 80s.",music,J. Geils Band,J. Geils Band,The Knack,The Romantics,Aerosmith
121,"Although Limahl  was later fired after a disagreement, this group went to number 1 on the UK charts with his help.",music,Kajagoogoo,Duran Duran,Kajagoogoo,Modern English,A-Ha
122,"Morrissey was a member of this British rock group from 1982 to 1987, before leaving to focus on his solo career.",music,The Smiths,Pet Shop Boys,The Smiths,New Order,Spandau Ballet
123,Which of these bands was Steve Winwood not a member of?,music,Cream,Spencer Davis Group,Cream,Blind Faith,Traffic
125,"Don Henley was a vocalist, drummer, and guitarist with this group.",music,The Eagles,Jefferson Starship,The Doobie Brothers,The Eagles,Fleetwood Mac
126,Belinda Carlisle used to do lead vocals for this 80s punk girl group.,music,The Go Gos,The Go Gos,Bananarama,The Bangles,Psychedelic Furs
127,Steve Perry made his public debut as singer for this band in October 1977.,music,Journey,Loverboy,Boston,Journey,Electric Light Orchestra (ELO)
128,Name the performer of this 80s hit song.,music,Kim Wilde,Kim Wilde,Devo,Katrina  the Waves,Eurythmics
129,If You Want Blood Youve Got It,music,AC/DC,AC/DC,King Diamond,Rush,Kiss
130,Diary of a Madman,music,Ozzy Osbourne,Marilyn Manson,Ozzy Osbourne,Alice Cooper,David Bowie
131,The Sad Wings of Destiny,music,Judas Priest,Judas Priest,Dream Theater,Iron Maiden,Exodus
132,Operation: Mindcrime,music,Queensryche,Tesla,Twisted Sister,Megadeth,Queensryche
133,Killing is my Business...and Business is Good,music,Megadeth,Cannibal Corpse,Death Angel,Grim Reaper,Megadeth
134,Zipper Catches Skin,music,Alice Cooper,Warrant,Poison,Alice Cooper,Cinderella
135,Fabulous Disaster,music,Exodus,Testament,Nuclear Assault,Exodus,Anthrax
136,Piece of Mind; Powerslave; Live After Death,music,Iron Maiden,Iron Maiden,Dio,Dokken,Dangerous Toys
137,This Toilet Earth; Ragnarok,music,Gwar,Biohazard,Gwar,Metal Church,Corrosion of Conformity
138,La Sexorcisto: Devil Music Volume 2,music,White Zombie,Great White,Whitesnake,White Zombie,White Lion
139,"The Woodstock Music and Art Festival, was held in Bethel, New York, on 15, 16, and 17 August of what year?",music,1969,1968,1967,1966,1969
140,"Vanilla Fudge was an American psychedelic rock band, whose members included organist Mark Stein, bassist Tim Bogert, lead guitarist Vince Martell, and this well-travelled and versatile rock drummer.",music,Carmine Appice,Jeff Lynne,John Bonham,Carmine Appice,Kenny Jones
141,"What year did British rock band, Led Zeppelin release their first, self-titled album?",music,1969,1969,1967,1968,1966
142,"The Mothers of Invention were a rock and roll band active from the 1960s to the 1990s, that originally consisted of drummer Jimmy Carl Black, bassist Roy Estrada, saxophonist Davy Coronado, guitarist Ray Hunt, and singer Ray Collins.  After Ray Hunt left the group in 1964, what  famous American composer, guitarist, singer and satirist took his spot?",music,Frank Zappa,Phil Lynott,Captain Beefheart,Frank Zappa,Lowell George
143,"British progressive rock band, Procol Harum, was formed in the early 1960s by Robin Trower and this lead singer, who was awarded the Member of the Order of the British Empire in the Queens Birthday Honours on June 14, 2003.",music,Gary Brooker,Johnnie Winter,Robert Palmer,Jeff Lynne,Gary Brooker
144,"This British rock band, best-known for their hit singles Keep On Running, Gimme Some Lovin and Im a Man, was vocalist Steve Winwoods first group.",music,Spencer Davis Group,Spencer Davis Group,Blind Faith,Traffic,Moody Blues
145,"Musician Donovan Philips Leitch, simply known as Donovan, was born on May 10, 1946 in what country?",music,Scotland,England,Scotland,Bolivia,United States
146,"Jimmy Page, one of the most influential guitarists in rock and roll, played for this band, before forming Led Zeppelin.",music,The Yardbirds,The Zombies,Gerry and the Pacemakers,The Animals,The Yardbirds
147,What is the name of the song which was a #1 hit for The Knack in 1979?,music,My Sharona,My Corona,My Sharona,Knack Three Times,My Bologna
148,Which song recorded by Simon  Garfunkel was a # 1 song in 1970?,music,Bridge Over Troubled Water,Bridge Over Troubled Water,50 Ways To Leave Your Lover,Me And Julio,Cecilia
149,What hit performed by The Rolling Stones was a # 1 song in 1973?,music,Angie,Satisfaction,Wild Horses,Angie,Get Used To It
151,What is the name of this song that was a #1 hit for Debby Boone in 1977?,music,You Light up My Life,Midnight at The Oasis,You Light up My Life,At Seventeen,Those Were the Days
152,What song by Andy Gibb topped the charts in 1977?,music,I Just Want to Be Your Everything,The Nights on Broadway,Shadow Dancing,Thicker Than Water,I Just Want to Be Your Everything
153,Which song was a #1 hit for The Jackson 5 in 1970?,music,The Love You Save,The Love You Save,Ease on Down the Road,Ben,Dancing Machine
154,Which song was a #1 hit for Olivia Newton-John in 1974?,music,I Honestly Love You,Have You Ever Been Mellow,Youre No Good,I Honestly Love You,Hopelessly Devoted to You
155,What song by Don McLean became a #1 song in  the U.S in 1972?,music,American Pie,American Pie,The Lion Sleeps Tonight,Irreplaceable,Vincent
156,He is best known for his 1976 Top 5 single Lonely Boy and the 1978 single Thank You For Being A Friend.,music,Andrew Gold,Burton Cummings Jr.,Andrew Gold,Leo Sayer,Henry Gross
157,"Who sang How Long,  a single with significant chart success, achieving a place in the top 20 UK Singles Chart, and reaching number 3 USA charts?",music,Ace,Pablo Cruise,Poco,Average White Band,Ace
158,"What year did the song Gypsies, Tramps and Thieves skyrocket to the top of the charts?",music,1971,1980,1973,1975,1971
159,"Who performed 70s hit, Undercover Angel?",music,Alan O Day,Alan O Day,Leo Sayer,David Cassidy,Rick Springfield
160,"Who performed Day after Day, a track from the 1971 album, Straight Up?",music,Badfinger,Dave Mason,Traffic,Dan Hill,Badfinger
161,"What early to mid-1970s group, originally called Bl̴blus, made a successful cover of B. J. Thomas 1969 song, Hooked on a Feeling?",music,Blue Swede,Blue Swede,Blues Image,Blues Magic,Blues Traveler
162,"Hitch hike was a dance craze of 1960s, which started with the 1963 Marvin Gaye hit, Hitch Hike and re-energized with Hitchin a Ride, a hit song performed by this band in 1970.",music,Vanity Fare,Vanity Fare,ABBA,White Plains,Coven
163,"Their career took off in 1971 with Hey You Love, after which two number one hits followed --  Hello-A and How Do You Do, in 1972.",music,Mouth and MacNeal,Mouth and MacNeal,Henry Gross,Cymarron,England Dan and John Ford Coley
164,"Chevy Van, a 1974 song which tells a story about a driver, who picks up a girl, was performed by what singer?",music,Sammy Johns,Sammy Johns,Sherman Kelly,Coven,Alive  and Kicking
165,"Who sang the massive, international 1974 hit, Beach Baby?",music,First Class,First Class,Gladys Knight  The Pips,Fifth Dimension,The Beach Boys
166,"What British pop group performed several hit songs, including the 1970 My Baby Loves Lovin and the 1971 When You Are a King.",music,White Plains,White Plains,Johnny Maestro and The Brooklyn Bridge,The Manhattans,Boston
167,"What rock band, originally called Fat City, sang the 1976 hit, Afternoon Delight?",music,Starland Vocal Band,The Mamas and the Papas,Starland Vocal Band,Heart,Abba
168,"What British singer performed the 1972 hit, Beautiful Sunday?",music,Daniel Boone,Bryan Adams,Paul Revere and The Raiders,Daniel Boone,Leo Sayer
169,"What RB and soul singer, best known for her hits in the 1970s, performed the single, Right Back Where We Started From in 1975?",music,Maxine Nightingale,Maxine Nightingale,Natalie Cole,Crystal Gayle,Diana Ross
170,"Who performed the hit song Having My Baby in 1976, in duet with Odia Coates?",music,Paul Anka,Paul Anka,Starbuck,Paul Revere and The Raiders,Paul Williams
172,Where did Elvis movie Jailhouse Rock premiere?,music,"Memphis, Tennessee","Memphis, Tennessee","Nashville, Tennessee","New York, New York","Hollywood, California"
173,What Elvis Presley song was written by Mac Davis and had the alternate title The Vicious Circle ?,music,In the Ghetto,Way Down,In the Ghetto,Suspicious Minds,Return to Sender
175,Who was in an Elvis movie as a child and then went on to play him as an adult?,music,Kurt Russell,Mel Gibson,Kurt Russell,Ronnie McDowell,Don Johnson
176,Which President did Elvis meet at the White House?,music,Richard Nixon,Ronald Regan,Richard Nixon,Jimmy Carter,Bill Clinton
177,The American rock band Survivor had a #1 song in 1982. What was the name of this song?,music,Eye of the Tiger,Call Me,Eye of the Tiger,Heat of the Moment,Waiting for a Girl Like You
178,Welsh singer Bonnie Tyler had massive success with what #1 song in 1983?,music,Total Eclipse of the Heart,Its A Heartache,Queen of Hearts,Total Eclipse of the Heart,The Tide Is High
179,Eddie Rabbitt  Crystal Gayle joined forces in 1983 and had a massive hit in the United States. What was the name of their song that reached #5 on the Billboard charts?,music,You and I,Endless Love,Baby Come to Me,You and I,Gonna Make My Brown Eyes Blue
180,What 1984 hit song by Prince was declared the top-selling single of the year by the Billboard magazine?,music,When Doves Cry,Kiss,1999,When Doves Cry,Little Red Corvette
