,question,category,answer,choices__001,choices__002,choices__003,choices__004
24,What type of dog did Richard Nixon receive from a Texan while he was a candidate for Vice President?,animals,Cocker Spaniel,German Shepherd,Cocker Spaniel,Golden Retriever,Welsh Corgy
25,What was the name of Socks companion at the White House during the Clinton Administration?,animals,Buddy,Buddy,Shoes,Bailey,Buster
27,Which of these Presidents had the most pets?,animals,Theodore Roosevelt,Franklin Delano Roosevelt,Theodore Roosevelt,Bill Clinton,Woodrow Wilson
28,What breed is known as the favourite breed of Queen Elizabeth II?,animals,Welsh Corgi,Border Collie,Old English Sheepdog,Welsh Corgi,Australian Cattle Dog
29,What was the name of Fraisers fathers dog on the hit TV show set in Seattle?,animals,Eddie,Niles,Marty,Eddie,Skip
30,Which one of these sea mammals is not in the endangered species lists?,animals,Pilot whale,Fin Whale,Pilot whale,Blue Whale,Humpback Whale
31,"This endangered turtle is the biggest of all living turtles, reaching a length of over 2.7 m (8.8 ft) and weight of 900 kg (2,000 lb).",animals,Leatherback Sea Turtle,Leatherback Sea Turtle,Kemps Ridley Turtle,Hawksbill Sea Turtle,Mesoamerican River Turtle
32,Name the rarest and most endangered of all wolves.,animals,Red Wolf,Red Wolf,Ethiopian Wolf,Black-backed Wolf,Gray Wolf
34,"This species of great apes with long arms and reddish hair suffer habitat destruction due to logging, mining and forest fires.",animals,Orangutan,Gorilla,Baboons,Orangutan,Chimpanzee
35,"What is the natural habitat of the snows leopard, that was hunted down for its beautiful fur, as a result of which its population went down to 1,000 animals in the 1960s?",animals,Central Asia,North America,Central Asia and North America,Central Asia,Europe and North America
37,"This freshwater mammal, found only in the Yangtze River, is the most endangered (even possibly extinct) cetacean and one of the most endangered species in the world.",animals,Chinese River Dolphin,Ganges River Dolphin,Chinese River Dolphin,La Plata Dolphin,Amazon River Dolphin
38,"This small nocturnal animal, whose natural habitat are the deserts of Northern Africa, is known to jump not only for hunting or protection, but also for pleasure.",animals,Fennec,Cape Fox,Red Fox,Bengal Fox,Fennec
39,"Jack jumper ants, yellowish-orange carnivorous ants named after their characteristic jumpy motions, can be found only on which continent?",animals,Australia,North America,Australia,Africa,Asia
40,"This small, graceful member of the antelope family is an extraordinary jumper - while leaping, it touches the rocky terrain of its South African habitats only with the tip of its hooves, resembling a dance.",animals,Klipspringer,Oribi,Roan Antelope,Scimitar Oryx,Klipspringer
44,Which of these animals swims the fastest?,animals,Dolphin,Flounder,Shark,Dolphin,Jellyfish
45,Which word refers to the sound peacocks make?,animals,Scream,Scream,Squill,Squeak,Squall
46,Ancient Japanese thought this animal caused earthquakes.,animals,Spiders,Birds,Spiders,Snakes,Frogs
47,How many types of bats are there?,animals,900,900,700,500,200
49,This animal can clean its own ears with its 21-inch tongue.,animals,Giraffe,Lizard,Elephant,Lion,Giraffe
51,What is the fastest animal on 6 legs?,animals,Cockroach,Ladybug,Cockroach,Beetle,Ant
53,What is a female sheep called or known as?,animals,ewe,ewe,colt,fleece,ram
54,What is the white tigers scientific name?,animals,Panthera tigris,Pantha,Panthera tigis,Panthera tiger,Panthera tigris
57,Which of the following is not a type of chipmunk?,animals,Bushy-tailed,Bushy-tailed,Long-eared,Eastern,Sonoma
58,Which of these is not an actual breed of horse?,animals,Sioux,Sioux,Russian Trotter,Belgian,Murgese
59,Which of the following is not a breed of dog?,animals,Ferret terrier,Pom-a-poo,Lakeland terrier,Fox terrier,Ferret terrier
60,One of these is not a true breed of cat. Which one?,animals,French Twist,Pixie-bob,Maine coon,Ragdoll,French Twist
61,Which of these is not a type of beetle?,animals,Burrowing beetle,Long-horn beetle,Stag beetle,Flea beetle,Burrowing beetle
62,Which of the following is not a type of spider?,animals,Glass spider,Glass spider,Trapdoor spider,Brown recluse spider,Bird-dropping spider
63,All but one of the following are true types of bears. Which is the odd one?,animals,Moon bear,Moon bear,Brown bear,Black bear,Sun bear
64,Which of these is not an actual breed of sheep?,animals,Dakota,Scottish black-face,Dakota,Hampshire,Merino
65,One of these is not a true breed of chicken. Which one?,animals,Red-tailed,Hamburg,Plymouth Rock,Leghorn,Red-tailed
66,Which of the following is not a breed of pig?,animals,Ridgeback,Norwegian Yorkshire,Vietnamese pot-belly,Ridgeback,Tokyo-X
67,What is a group of lions called?,animals,Pride,Family,Group,School,Pride
69,"Generally, how many times in an interval of 5 hours do lions mate?",animals,10,1,5,20,10
70,What is the breed of animal created from the crossing of a male lion and a female tiger?,animals,Liger,Tigon,Tiges,Ligon,Liger
71,What is the breed of animal created from the crossing of a female lion and a male tiger?,animals,Tigon,Tigen,Liger,Tigon,Liges
72,What do male lions have which females do not possess?,animals,A mane,An extra tooth,A mane,Longer nails,Distinguished eyes
73,What is the average lifespan of a lion living in the wild?,animals,10 -15 years,20 - 30 years,Less than 10 years,10 -15 years,Greater than 30 years
76,"Cats twitch the tips of their tails slightly when hunting or when angry, while stronger twitching indicates what?",animals,Displeasure,Stress,Displeasure,Boredom,Playfulness
77,"If a cat pushes its face against your head, this means what?",animals,Acceptance,Impatience,Submission,Acceptance,Aggression
78,"Cats generally purr when they are happy, but they can also be heard purring in what other situation?",animals,When they are distressed or in pain,When they are distressed or in pain,When they are hunting or playing,When they are hungry or thirsty,When they are lonely or angry
79,How many different vocalization sounds does a cat make?,animals,100,100,200,50,150
82,What was the largest  eagle ever found on Earth?,animals,Haasts Eagle,Golden Eagle,Haasts Eagle,Harpy Eagle,Bald Eagle
83,Which term refers to the group formed by frogs and amphibians?,animals,Herps,Drosophillia,Herps,Mollusks,Nematodes
84,Which statement about elephants is untrue?,animals,Elephants do not have great memories,Elephants sleep standing up,Elephants cry,There are some pink elephants in India,Elephants do not have great memories
86,What is alektorophobia?,animals,The unreasonable fear of chickens,The unreasonable fear of birds of prey,The unreasonable fear of roaches,The unreasonable fear of chickens,The unreasonable fear of sharks
87,How do scientists calculate the age of a fish?,animals,They count the growth rings on the ear bone.,They count all the teeth in the fishs mouth.,They measure the size of the fish and compare that to the average size of that type of  fish.,They count the growth rings on the ear bone.,They count the teeth in the fishs lower lip.
88,"Pound for pound, humans are not the strongest animals. What is considered the strongest species, pound for pound?",animals,The Hercules beetle,The Hercules beetle,The leaf-cutting ant,The red ant,The atlas roach
89,Human beings have 23 pairs of  chromosomes. Which animal has the most chromosomes?,animals,hermit crabs,minke whale,millipedes,elephants,hermit crabs
90,What type of animal is a lamprey?,animals,fish,worm,fish,insect,amphibian
91,What is the name of the first book by Darwin that directly dealt with evolution?,animals,On the Origins of the Species,Essay on the Principles of Population,Totem and Taboo,On the Origins of the Species,The Descent of Man and the Selection in Relation to Sex
92,Which of these animals has the largest paws?,animals,An average lynx,An average mountain lion,An average nematode,An average lynx,An average lichen
103,"Despite the myth that Chihuahuas were descendants of the royal dog of the Aztecs, it is also believed that Spanish trade merchants brought Chihuahuas to which of these countries?",animals,Mexico,Venezuela,United States,Brazil,Mexico
104,What maximum height at the withers can Chihuahuas reach?,animals,15 inches (38 cm),24 inches (60 cm),15 inches (38 cm),12 inches (30 cm),9 inches (22 cm)
106,Chihuahuas are the only dogs to be born with what?,animals,An incomplete skull,An extra leg tendon,Hairless inner ears,An incomplete skull,Two extra canine teeth
107,What is the average lifespan of Chihuahuas?,animals,8- 18 years,8 - 12 years,8- 18 years,8 - 26 years,8 - 15 years
108,The Chihuahua Gidget is famous for what reason?,animals,It was a mascot for Taco Bell.,Paris Hilton has it as a pet.,It was a fill-in mascot for the Georgia Bulldogs.,It was a mascot for Taco Bell.,It was a mascot for Taco John.
111,What does the word âhippopotamusâ mean?,animals,River horse,Water pig,Fat horse,River horse,River pig
113,How long in years is the life span of an average wild hippopotamus?,animals,40-50,10-20,40-50,30-40,20-30
117,This is the basic food of the sea. Billions upon billions of these organisms live in the sea.,animals,Plankton,Seaweed,Plankton,Crabs,Shrimp
118,This is the result of the gravitational pull from the moon and sun.,animals,Tides,Migration of certain species of whales,Tides,Shoreline,Waves
119,These creatures look like flowers as they grow attached to rocks. Their tentacles open like fleshy petals and contract whenever danger is near.,animals,Sea Anemones,Kelp,Jellyfish,Sponges,Sea Anemones
120,"This sea animal, widely considered the most valuable shellfish, is common in shallow, warmer waters of all oceans.",animals,Oyster,Oyster,Shrimp,Scallop,Lobster
121,"This crab is not really a crab, but an arthropod. Its closest relative is the spider.",animals,Horseshoe crab,Fiddler Crab,Horseshoe crab,Spider Crab,Rock Crab
122,"These worms are not in fact worms, but bivalves. They enter wood as larvae, where they remain and grow, burrowing through the wood.",animals,Shipworms,Sea Mice,Ribbon Worms,Lugworms,Shipworms
125,"Also called Sea Biscuit, this animal lives in deeper water half-buried in the sand.",animals,Sand Dollar,Sand Dollar,Star Fish,Scallop,Mussel
126,The red kangaroo appears on the Coat of Arms of Australia together with what other endemic Australian animal?,animals,Emu,Emu,Platypus,Dingo,Koala
127,Which of these mammals was brought to Australia by humans?,animals,The dingo,The echidna,The dingo,The koala,The Tasmanian tiger
128,"Which of the following statements about echidnas, mammals native to Australia, is wrong?",animals,Echidnas are marsupials.,Echidnas are covered with spines.,Echidnas have snouts.,Echidnas lay eggs.,Echidnas are marsupials.
129,The diet of the koala consists mainly of what plant species?,animals,Eucalyptus,Eucalyptus,Bamboo,Willow,Cork Oak
130,Which one of these Australian reptiles is the largest living crocodile in the world?,animals,The saltwater crocodile,The thorny devil,The weedy sea dragon,The blue-tongued skink,The saltwater crocodile
131,This Australian monotreme lays eggs and has a remarkable sense of electroception.,animals,Platypus,Platypus,Red kangaroo,Dingo,Emu
132,Which Australian animal is the largest living carnivorous marsupial on Earth?,animals,The Tasmanian devil,The Tasmanian tiger,The Tasmanian devil,The platypus,The red kangaroo
133,"Qantas, Australias largest airline company, has what Australian animal on its red-and-white logo?",animals,Kangaroo,Koala,Kangaroo,Emu,Tasmanian devil
134,"What is the difference between the male and the female Galah, a cockatoo bird native to Australia?",animals,Males and females have different eye colour.,There is no difference between them.,Males and females have different eye colour.,Galah males are crested.,Galah females have shorter tails.
135,What is the average weight of the Tasmanian Pygmy Possum?,animals,About 7g,About 250g,About 50g,About 100g,About 7g
136,Which lizard can squirt blood from the corners of its eyes in order to confuse and drive back its enemies?,animals,Horned lizard,Anole,Gila monster,Horned lizard,Komodo dragon
137,The venomous lizard Gila monster was named after what?,animals,The Gila River basin,The Gila River basin,The Gila Expedition 1857,Alberto Gilardino,Gilligans Island
138,"The Komodo dragon, the largest living lizard on Earth, lives in which part of the world?",animals,Indonesia,North America,Indonesia,South-western China,Madagascar
139,Which term refers to the self-defense mechanism which allows lizards to break off their tails when captured?,animals,Autotomy,Apotemnophilia,Autonomy,Autotomy,Autism
140,Which of these statements about geckos is true?,animals,All of these,Geckos have toe pads which help them climb smooth vertical surfaces.,All of these,Geckos can make chirping sounds.,Geckos feed on insects.
141,Chameleons are lizards that can change their colour. What does Chameleon mean in Greek?,animals,Earth lion,Green melon,Karma lion,Colourful,Earth lion
142,Geckos have immovable eyelids and cant blink. How do they keep their eyes clean?,animals,They lick their own eyes.,A tiny insect lives under their eyelids and cleans their eyes.,They lick their own eyes.,They dip their eyes in water.,They cover their eyes with their toes.
143,The lizards which do not have legs are commonly known by what name?,animals,Glass lizards,Glass lizards,Monitor lizards,Skinks,Iguanas
144,Which of these lizard species is not endangered?,animals,Eastern Bearded Dragon,Eastern Bearded Dragon,Blunt-nosed Leopard Lizard,Mona Ground Iguana,Komodo Dragon
145,No lizard species live on which continent?,animals,Antarctica,South America,Antarctica,Europe,Asia
146,"This shark is considered a filter- feeder. Its diet consists mainly of plankton, krill, and macro-algae.",animals,whale shark,whale shark,bull shark,great white shark,pygmy shark
147,This sharks white belly and grey back make it difficult for prey to spot.,animals,great white shark,hammerhead shark,tiger shark,great white shark,whale shark
150,Which of these sharks has a flat body like a stingray?,animals,angel shark,basking shark,blue shark,blacktip reef shark,angel shark
151,"This shark was believed to be extinct, until it was found on the coast of Japan in 1898.",animals,goblin shark,cookie cutter shark,mako shark,goblin shark,angel shark
152,Which shark is the fastest swimmer?,animals,mako shark,goblin shark,mako shark,nurse shark,sandtiger shark
154,What is the common name for baby sharks?,animals,pups,calves,pecks,cubs,pups
156,How many recognized giraffe subspecies exist?,animals,9,6,7,9,5
157,Which of these is not a subspecies of giraffe?,animals,East African Giraffe,Somali Giraffe,Rothschilds Giraffe,Kordofan Giraffe,East African Giraffe
158,How long is a giraffes gestation period?,animals,14- 15 months,18 - 20 months,10 months,14- 15 months,9 months
159,How many pounds of leaves can a giraffe consume daily?,animals,140 pounds,60 pounds,100 pounds,140 pounds,210 pounds
162,What group of dogs does the beagle belong to?,animals,hound,retrievers,setters,hound,terriers
163,The beagle was developed mainly for tracking what animal?,animals,rabbits,squirrels,rabbits,raccoons,coyotes
164,About how many years have beagles been around?,animals,"2,000","2,000","5,000","4,000","3,000"
165,Which of the following cartoon dogs was a beagle?,animals,Snoopy,Courage,Scooby Doo,Snoopy,Clifford
167,What is the typical lifespan of the beagle?,animals,12 years,20 years,15 years,7 years,12 years
170,What type of coat do beagles have?,animals,medium,long,short,medium,depends on the dog
171,The puggle is a mix between a beagle and what dog?,animals,pug,papillion,puli,poodle,pug
172,In what country was the goldfish first domesticated?,animals,China,Egypt,China,Japan,India
174,How long can a goldfish live in optimal conditions?,animals,20 years,5 years,8 years,10 years,20 years
176,In Europe goldfish were first introduced to what country?,animals,Portugal,France,England,Italy,Portugal
177,What color goldfish were most prized by the Chinese royalty several centuries ago?,animals,Yellow,Silver,Yellow,Orange,Red
180,What color are wild goldfish?,animals,Green,Silver,Orange,Yellow,Green
182,"This bird is the fastest animal on the planet in its hunting method, the stoop.",animals,Peregrine Falcon,Bald Eagle,Red-tailed Hawk,Peregrine Falcon,Golden Eagle
185,These raptors are known for their unusually social behavior. They even hunt in groups while the majority of raptors are solitary hunters.,animals,Harris Hawk,Golden Eagle,Turkey Vulture,Spotted Owl,Harris Hawk
186,This animal is the largest of the deer family and can be found in the northern parts of North America.,animals,Moose,Gazelle,Moose,White Tailed Deer,Elk
187,Which of these animals cannot be found in North America?,animals,Dingo,Flamingo,Walrus,Dingo,Beaver
188,"This bear, also known as a Silvertip bear, is native to North America.",animals,Grizzly Bear,Panda Bear,Polar Bear,Red Panda Bear,Grizzly Bear
189,The coyote lives in North America and also goes by this name.,animals,Prairie Wolf,Desert Dog,Prairie Wolf,Prairie Dog,Small Wolf
190,This North American animal is at the top of the food chain in the arctic region.,animals,Polar Bear,Walrus,Polar Bear,Arctic Fox,Penguin
191,This mammal is known for its black fur with a white stripe and for its apparent odor.,animals,Skunk,Sloth,Ferret,Skunk,Weasel
192,What type of animal is the cottonmouth?,animals,Snake,Mouse,Snake,Bat,Lizard
193,This creature belongs to the rodent family and is covered in sharp spines or quills.,animals,Porcupine,Nutria,Armadillo,Kiwi,Porcupine
194,How many species of skunk exist?,animals,11,6,8,13,11
195,How many young skunks can be born in one litter?,animals,1-7,1-10,1-5,1-7,1-4
196,What do skunks eat in the wild?,animals,All of these,All of these,Insects,Meat,Fruit
197,How much of an effective range do skunks odor glands have?,animals,15 feet,15 feet,10 feet,8 feet,20 feet
200,How many subspecies of Red Fox are found in India?,animals,3,2,None. Red Fox are not native to India.,1,3
201,Which of these coat colors is not found in wild Red Fox populations?,animals,Black,Golden,Spotted,Red,Black
202,What is the top speed that the Red Fox can reach?,animals,45 mph,25 mph,35 mph,45 mph,55 mph
203,Which of these are eaten by the Red Fox?,animals,All of these,Insects,worms,All of these,eggs
204,How long is the Red Foxs lifespan in the wild?,animals,3 years,3 years,8 years,6 years,10 years
207,Approximately how long is a Red Foxs gestation period?,animals,55 days,89 days,55 days,40 days,34 days
209,What is an adult male rooster known as?,animals,Rooster,Rooster,Buck,Hen,Foul
210,What is the word used for someone that is afraid of chickens?,animals,Alektorphobic,Xenophobic,Chickopobic,Alektorphobic,Avianphobic
211,Which of the following is not a breed of chicken?,animals,Chinese Crested,Australorp,Cubalaya,Houdan,Chinese Crested
213,How many beats per minute does a chickens heart usually beat?,animals,280-315,100-234,147-189,280-315,95-124
214,Which of the following color of egg is incorrect for a chicken egg?,animals,black,black,white,pink,blue
215,All domestic chickens can be traced back to which bird?,animals,The Red Jungle Fowl,The Wild Turkey,The Macaw,The Red Jungle Fowl,The Amazon Rain Forest Chicken
216,Which of the following characters is a chicken?,animals,Foghorn Leghorn,Dori,Foghorn Leghorn,Daffy,Kermit
217,What is the average lifespan of a lion in the wild?,animals,10-14 years,6-9 years,20-24 years,10-14 years,15-20 years
219,Most lions only survive in Africa. But a population of the much endangered Asiatic lion lives in India. How many estimated lions live in India as of 2007?,animals,300,300,550,"1,500","3,000"
220,What is the average maximal speed a lion can reach?,animals,35 mph / 56 km/h,35 mph / 56 km/h,45 mph / 72 km/h,20 mph / 32 km/h,40 mph / 64 km/h
222,Approximately what amount of meat does an adult male lionâs diet require per day?,animals,15 lbs. (6.8 kg),10 lbs. (4.5 kg),5 lbs. (2.2 kg),15 lbs. (6.8 kg),25 lbs. (11 kg)
224,Approximately how long is a lions gestation period?,animals,120 days,200 days,30 days,120 days,60 days
227,How many species of penguins live in warm or even tropical environments?,animals,4,0,3,2,4
229,Which of these is the largest species of penguins?,animals,Emperor Penguin,King Penguin,Giant Penguin,Emperor Penguin,Royal Penguin
231,What does the word penguin mean?,animals,Fat,Fat,Black and White,Swimmer,Bird
233,Which of these animals is NOT a natural predator of penguins?,animals,Polar Bear,Leopard Seal,Polar Bear,Stellars Sea Eagle,Orca (Killer Whale)
235,Where can the polar bear be found?,animals,Arctic,South Pole,Antartica,Arctic,All of these
237,What color is a polar bears skin?,animals,Black,Black,White,Pink,Yellow
239,Approximately how many wild polar bears are estimated to live across the Arctic?,animals,"20,000","20,000","100,000","150,000","60,000"
241,"According to Guinness Book of World Records, the heaviest wild bear was caught in 1960 and weighed 1,960 lbs (890 kg). What was its length?",animals,"Over 11 feet (3,40 m) tall","Over 11 feet (3,40 m) tall","Over 12 feet (3,70 m) tall","Over 9 feet (2,70 m) tall",Over 10 feet (3 m) tall
243,A polar bear is used as the marketing icon for which of these popular products?,animals,Klondike Bars,Maytag Freezers,Hoods Ice Cream,Popsicles,Klondike Bars
256,The Labrador Retriever is considered a medium-sized dog. How much does it weigh when fully grown?,animals,55 - 80 pounds,65 - 110 pounds,40 - 55 pounds,55 - 80 pounds,20 - 60 pounds
257,What is the estimated average lifespan of a crocodile?,animals,70+ years,80+ years,50+ years,90+ years,70+ years
258,On which of these continents can you find the Salt Water Crocodile?,animals,Australia,Africa,South America,Australia,North America
260,A crocodile bite strength is up to how many pounds psi (per square inch)?,animals,3000 psi,3000 psi,5000 psi,700 psi,1500 psi
262,Which of these is NOT a species of crocodile?,animals,African Crocodile,Nile Crocodile,Mugger Crocodile,American Crocodile,African Crocodile
264,What is the average incubation period of crocodile eggs?,animals,80 days,50 days,80 days,120 days,25 days
265,Beavers are the second largest rodents in the world after which animal?,animals,Capybara,Muskrat,Mountain Marmot,Capybara,Sea Otter
268,The North American Beaver is Canadas National symbol that adorns which Canadian coin?,animals,Nickle,Penny,Nickle,Quarter,Dime
270,What is the gestation period of a beaver?,animals,4 months,2 months,3 months,6 months,4 months
272,Butterflies need the warmth of the sun in order to fly. They cannot possibly fly if the temperature is below this.,animals,50 F (10 C),60 F (16 C),80 F (27 C),70 F (21 C),50 F (10 C)
274,Butterflies taste their food through this organ.,animals,The legs,The wings,Their faceted eyes,The proboscis,The legs
275,Butterflies do not have lungs. They breathe trough this organ.,animals,The abdomen,The proboscis,The abdomen,The eyes,The legs
277,This is what mostly attracts a butterfly to a flower.,animals,The flowers nectar,The flowers nectar,The flowers color,The flowers shape,The flowers smell
278,The expression social butterfly is often used to describe a woman. It means that she does this.,animals,Flits from one person to another,Uses too much cosmetics,Behaves quite self-conceited,Flits from one person to another,Wears clothes with bright colors
279,"Finish this old phrase:\n\nWhen you call a dog, he comes right over to you. When you call a cat, she________________.",animals,takes a message,climbs the curtains,runs away from you,thinks its dinner time,takes a message
280,Why does your cat interrupt you and want petting when youre on the phone?,animals,your cat thinks you are talking to him/ her,your cat thinks you are talking to him/ her,to annoy you,to be a part of your telephone call,your cats is jealous that youre talking to someone else
281,Why do cats seem to be attracted to the one person who doesnt like cats?,animals,Kitty sees that person as unintimidating,Kitty wants to annoy them,Kitty thinks that person has food,Kitty wants to win them over,Kitty sees that person as unintimidating
284,Why do cats suddenly race through the house?,animals,They have an overflow of pent-up energy.,They feel a change in the weather.,They have an overflow of pent-up energy.,They want to get your attention.,They feel the presence of a ghost.
285,Why does a cat rub against your leg?,animals,To mark you by depositing his/ her scent,Because she/ he really likes you.,Because it feels good.,To mark you by depositing his/ her scent,To show he/ she trusts you
286,Why does a cat bury his/ her waste?,animals,To protect their trail from predators,To show their dominance,To protect their trail from predators,Because they are so territorial.,Because they are very clean animals.
288,"Why do cats always want in when they are out, and out when thery are in?",animals,To re-mark their scent,To re-mark their scent,To annoy you,Because they have pent-up energy,Because they are bored
289,Why do cats like to sleep in the sun?,animals,To make up for the drop in body temperature when they sleep,To make up for the drop in body temperature when they sleep,To keep from shedding so much,It reminds them of being kittens,Because they can hear better when they are warm
290,Why do cats go crazy over catnip?,animals,Because it smells like a cat in heat,Because it smells like a cat in heat,Because it smells like prey,Because it smells like tasty food,Because it is an aphrodisiac
291,How many known species of earthworm exist worldwide?,animals,"5,500","3,000","2,500","5,500","1,000"
293,How many hearts does a typical earthworm have?,animals,10,2,10,4,8
298,How many species of earthworm are native to Australia?,animals,650,650,450,250,850
300,How many million of earthworms were exported from Canada and sold worldwide in 1980?,animals,370 million,225 million,260 million,370 million,100 million
301,To which animal class do octopuses belong?,animals,Cephalopod,Mollusk,Coleoid,Nautiloid,Cephalopod
304,Which of the following animals is the least related to the octopus?,animals,Eel,Scallop,Snail,Eel,Clam
305,How many arms do octopuses have?,animals,8,8,5,0,2
308,Approximately how tall is a grizzly bear when standing on its hind legs?,animals,8 feet (2.4 m),9 feet (2.7 m),7 feet (2.1 m),6 feet (1.8 m),8 feet (2.4 m)
310,In which country is the grizzly bear listed as a threatened species?,animals,U.S.,U.S.,Germany,Canada,Sweden
312,"Although the grizzly bear is on the flag of this state, the last grizzly was shot there in 1922.",animals,California,Nevada,California,Oregon,Idaho
314,Which of these do grizzly bears eat?,animals,All of these,Moose,Berries,Fish,All of these
316,How many fatal brown and grizzly bear attacks have been reported between 1900 and 2003 in North America?,animals,53,175,53,542,257
319,Which of these things is something you should never feed your dog?,animals,Chocolate,Coconuts,Chocolate,Milk,Raw meat
321,Which of these is only a dog food brand?,animals,Cesar,Eukanuba,Cesar,Iams,Purina
323,A dog should never be left with a child under this age because the child may injure the dog or him/herself.,animals,five,ten,seven,three,five
325,What were the dodos closest living relatives in nature?,animals,Pigeons,Chickens,Pigeons,Parrots,Turkeys
327,In what year was the dodo discovered?,animals,1598,1627,1605,1681,1598
329,In what year did the dodo become extinct?,animals,1681,1705,1789,1681,1803
332,The does âcheetahâ mean translated from Sanskrit?,animals,Spotted One,Fast,Spotted One,Lightning,Stealth cat
334,What are cheetahs that have mutated patterning that creates blotches instead of spots called?,animals,King Cheetahs,King Cheetahs,Smudge Cheetahs,Black Cheetahs,Striped Cheetahs
336,Which of these is not a sound made by cheetahs?,animals,Roar,Hiss,Yelp,Roar,Purr
338,The ruler of the Mughal Empire Akbar the Great was very enamored with cheetahs and it is said he kept a stable of how many of these cats?,animals,"1,000","5,000",750,"1,000",500
340,What is the typical lifespan of the cheetah?,animals,10-20 years,25-40 years,15-25 years,5-10 years,10-20 years
341,In 2007 the amount of cheetahs left in the wild dropped to what number?,animals,"12,000","12,000","20,000","30,000","5,000"
343,What frog is the most poisonous?,animals,Dart Frog,Cane Toad,Dart Frog,Corroboree Frog,Red-Eyed tree frog
345,Which of these types of frogs shares its name with an animal that is not a frog?,animals,horned frog,horned frog,leopard frog,tree frog,arrow frog
349,What is the smallest frog?,animals,Brazilian Gold Frog,Red-Eyed Tree frog,Brazilian Gold Frog,Cane Toad,Monte Iberia Eleuth
353,How many species of zebra are known to exist?,animals,4,6,4,3,5
354,Which one of these is not a species of zebra?,animals,Savanna Zebra,Savanna Zebra,Cape Mountain Zebra,Grevys Zebra,Plains Zebra
356,How tall is a typical zebra at the shoulder?,animals,4 feet (1.2 m),4 feet (1.2 m),6 feet (1.8 m),5 1/2 feet (1.6 m),3 feet (0.9 m)
358,How fast can a zebra run?,animals,40 mph (65 km/h),30 mph (50 km/h),25 mph (40 km/h),50 mph (80 km/h),40 mph (65 km/h)
359,Which of these are not a function of a zebras stripes?,animals,A warning sign to other zebras,A warning sign to other zebras,Identification within the herd,Heat dissipation,Confusion of predators
360,How long can a zebra live in captivity?,animals,40 years,30 years,20 years,40 years,15 years
361,This type of ant causes a lot of allergic reactions in the USA.,animals,Fire ant,Jack Jumper  ant,Bulldog ant,Western brown ant,Fire ant
362,This type of ant is considered the most venomous of all insects.,animals,Jack jumper ant,Western brown ant,Bulldog ant,Jack jumper ant,Fire ant
363,About how long have ants been around on Earth?,animals,60 million years,8 million years,45 milllion years,60 million years,25 million years
364,The largest ant colony is located on the Ishikari coast of Hokkaido. Approximately how many ants are there in this colony?,animals,"300,000,000","300,000,000","30,000,000","700,000,000","1,500,000"
365,What are the three basic parts of an ants body?,animals,"Head, mesosoma, metasoma","Antennae, abdomen, thoraces","Head, mesosoma, metasoma","Head, abdomen, metasoma","Head, thorax, somatomy"
366,All of these substances but one are a safe way to get rid of ants in the house. Which is the odd one?,animals,Wine,Cider vinegar,Windex mixed with ivory soap,Wine,Whole cloves
367,What do we call the type of ants that plant seeds to grow food?,animals,Harvester ants,Formicadae,Thresher ants,Farmer ants,Harvester ants
