,question,category,answer,choices__001,choices__002,choices__003,choices__004
30,"This British actor is mainly known for his portrayal of a schoolboy wizard, but has also appeared on stage naked!",celebrities,Daniel Radcliffe,Frank Converse,Kenneth Branagh,Ewan McGregor,Daniel Radcliffe
31,"This versatile young actor has played a diverse range of characters in films, but is known best as a heroic little hobbit in Peter Jacksons blockbuster trilogy of Lord Of The Rings.",celebrities,Elijah Wood,Haley Joel Osment,Elijah Wood,Ryan Reynolds,Edward Speleers
32,This British actor is probably best known for playing the villain Blofeld in the James Bond series of films and Dr. Loomis in the Halloween movies.,celebrities,Donald Pleasence,Stuart Townsend,Samuel West,Donald Pleasence,Tom Baker
33,"Which actor, who played Legolas in The Lord of the Rings trilogy, was born on January 13, 1977?",celebrities,Orlando Bloom,Elijah Wood,Sean Astin,Orlando Bloom,Viggo Mortensen
34,"What more than 10-time Grammy Award winning pop singer was born on February 2, 1977.",celebrities,Shakira,Nelly Furtado,Pink,Mya,Shakira
35,"This actress, who starred in the movie I Know What You Did Last Summer, was born on April 14, 1977. What is her name?",celebrities,Sarah Michelle Gellar,Rachael Leigh Cook,Jennifer Love Hewitt,Sarah Michelle Gellar,Brandy
36,"Which singer, born on January 28, 1977, was a member of the popular boy-band N Sync?",celebrities,Joey Fatone,Joey Fatone,Lance Bass,Nick Carter,Justin Timberlake
37,"This actor, who is also an animal rights activist, was born on August 2, 1977. He was arrested in Kentucky for attempting to free lobsters from a grocery store.",celebrities,Edward Furlong,Chris Klein,Macaulay Culkin,Edward Norton,Edward Furlong
38,What instrument did Louis Armstrong play?,celebrities,Trumpet,Saxophone,Trumpet,Clarinet,Violin
39,What instrument did jazz musician Benny Goodman play?,celebrities,Clarinet,Drums,Flute,Clarinet,Saxophone
41,"Matt Cameron, who has been a member of Soundgarden and Pearl Jam, plays what instrument?",celebrities,Drums,Keyboards,Drums,Bass,Guitar
43,"Adam Yauch, one of the founding members of the Beastie Boys, plays which of the following instruments?",celebrities,Bass,Turntable,Bass,Keyboards,Guitar
45,"David Bowie plays many instruments, which of the below does he also play?",celebrities,Cello,French Horn,Cello,Flute,Bass
46,Nick Rhodes from Duran Duran plays what instrument?,celebrities,Keyboards,Keyboards,Tuba,Symbols,Drums
47,What is the middle name of John Stamos?,celebrities,Phillip,Jesse,Ronald,Roy,Phillip
48,Actor John Stamos didnt play in which one of these shows?,celebrities,Different Strokes,Full House,General Hospital,Different Strokes,ER
52,The TV sitcom Fullhouse ran on ABC for how many seasons?,celebrities,8,1,6,8,11
53,"John Stamos was born in Cypress, California on what date?",celebrities,"August, 19","August, 2","August, 19","July, 11","August, 12"
56,"The song A Day in the Life, from the Beatles Sgt. Peppers album, contains a Paul McCartney death clue that supposedly reveals what?",celebrities,The manner of Pauls death,Pauls age when he died,Who took Pauls place in the band,The manner of Pauls death,Why Pauls death was kept a secret
57,"Who took Paul McCartneys place in the Beatles, according to a death clue in the song Sgt. Peppers Lonely Hearts Club Band on the album of the same name?",celebrities,Billy Shears,Mr. Kite,Sgt. Pepper,Billy Shears,An unnamed replacement
58,"The Paul is dead myth holds that Paul McCartney died on November 9, 1966.  Which of the following is not a clue suggesting that date?",celebrities,The Beatles had released nine albums by the time Paul supposedly died.,"The bass drum on the Sgt. Peppers album cover has a hidden message, visible by holding a mirror through the middle of the drum, indicating 11/9.","The lyrics of Shes Leaving Home include the line, Wednesday morning at five oclock, and November 9, 1966, was a Wednesday.",The repetition of number nine in the song Revolution 9 means November nine.,The Beatles had released nine albums by the time Paul supposedly died.
59,"Richard Kiel, who is 72 tall, remains best known for which role in the James Bond movies?",celebrities,Jaws,Jaws,Mr. Kidd,Largo,Mister Big
62,What of these was the last movie Sean Connery made?,celebrities,The League of Extraordinary Gentlemen,Finding Forrester,The League of Extraordinary Gentlemen,First Knight,The Avengers
66,Why was Sean Connerys service in the Navy shortened?,celebrities,stomach ulcer,Bad conduct,none of the above,injury to his back,stomach ulcer
67,"This actor gave his voice to the popular animated cartoon cat Garfield. He was also known as the voice of Carlton, the doorman on the television comedy Rhoda, a spin-off of the Mary Tyler More Show.",celebrities,Lorenzo Music,Lorenzo Music,Billy Gilbert,Ernie Sabella,Peter Falk
68,"An elephant in Dumbo, the Queen of Hearts in Alice in Wonderland, and Flora in Sleeping Beauty were some of the best roles of this voice actress.",celebrities,Verna Felton,Edith Head,Nancy Cartwright,Lucille La Verne,Verna Felton
69,"You remember this actress voice from Mulan (Grandmother Fa), Cinderella (Lucifer the Cat) and The Smurfs (Jokey Smurf and Mother Nature). She was also Granny, the owner of Tweety and Sylvester the cat.",celebrities,June Foray,Adriana Caselotti,Mary K. Bergman,Shaaron Claridge,June Foray
70,"Which of these characters was voiced by Adriana Caselotti, an Italian-American actress of a musical family?",celebrities,Snow White,Roger Rabbit,Snow White,The Little Mermaid,Cinderella
71,"This TV and voice actor is from a Jewish family from Greece. He has had many voice roles (numerous characters on the The Simpsons, Eddie Brock in the Spider-Man animated series), several Emmys, and roles in many movies and TV shows.",celebrities,Hank Azaria,Mike Judge,Johnny Knoxville,Hank Azaria,Paul Giamotti
72,"To which of these animated films has popular American actress and voice artist, Mae Questel not contributed?",celebrities,Micky Mouse,Who Framed Roger Rabbit,Popeye the Sailor,Micky Mouse,Betty Boop
73,"This remarkable ventriloquist voiced Scooby-Doo, Papa Smurf, Astro (the Jetsons dog), Hampton Pig, Boo-Boo (Yogi Bears buddy) and Ruff from Ruff n Reddy.",celebrities,Don Messick,Don Messick,Thurl Ravenscroft,Trey Parker,Hans Conreid
74,"This voice actor was often called the king of the movie trailer, having voiced the trailers for over 3,000 movies. He is given credit for such movie clichÃ©s as A one man army.... and In a world, where....",celebrities,Don La Fontaine,Isaac Hayes,Peter Cullen,Don La Fontaine,Melvin Franklin
75,"This actor from Paterson, New Jersey voiced Joe Swanson in Family Guy, Kronk in The Emperors New Groove, and Tick in TV series, Tick.",celebrities,Patrick Warburton,Mike Judge,Daws Butler,Tex Brasher,Patrick Warburton
76,"Bill Scott, a voice actor, writer, and producer of animated cartoons, primarily in association with Jay Ward, was the voice of three of these characters. Name the one he did not voice.",celebrities,Boris Badenough,Boris Badenough,Bullwinkle,Mr. Big,George of the Jungle
77,"This American actress, born in Paris, is best known for voicing Lisa Simpson from The Simpsons series. She also appeared on the situation comedies Hermans Head and Dharma and Greg.",celebrities,Yeardley Smith,Julie Kravner,Yeardley Smith,Nancy Cartwright,Daniella Castellaneta
78,Her name is Memphis Eve. Who is her famous dad?,celebrities,Bono,Bono,Todd Rundgren,Shaquille ONeal,Gregg Allman
79,"He changed his family name to separate himself from his famous uncle, but he named his son Kal-El.",celebrities,Nicholas Cage,Jack Black,Nicholas Cage,Elliot DePalma,John Soderburgh
80,"She has named her children Six, Seven, Fly and Puma.",celebrities,Erykah Badu,Erykah Badu,Shakira,Mel B.,Mel C.
81,"This Hawaiian born actress/singer starred in A Knights Tale; Kiss, Kiss, Bang, Bang; and appeared as a guest star on several TV shows. She named her son Audio Science Clayton.",celebrities,Shannon Sossamon,Edie Falco,Shannon Sossamon,Keira Knightly,Bette Midler
83,"This actor and friend of Jimmy Stewart served on board the U.S.S. destroyer, Satterlee. He served honorably in war, yet his daughter spent most of her early life protesting the Vietnam War.",celebrities,Henry Fonda,Robert Mitchum,Kirk Douglas,John Wayne,Henry Fonda
84,"It was clear...frankly my dear, he did give a damn. He served honorably in WWII in the air force.",celebrities,Clark Gable,Spencer Tracy,Clark Gable,Douglas Fairbanks,Lee Marvin
86,In which of these movies has Nicolas Cage not appeared?,celebrities,Crash (2004),Face Off,Crash (2004),Con Air,The Family Man
87,What was the occupation of Nicolas Cages character in the movie It Could Happen to You?,celebrities,a police officer,a painter,a lawyer,a judge,a police officer
88,In which of these movies does Nicolas Cage play an arms dealer?,celebrities,Lord of War,Warlord,The Warlords,Lord of War,War
89,Which of these war movies stars Nicolas Cage?,celebrities,Windtalkers,Black Hawk Down,Saving Private Ryan,Windtalkers,Thin Red Line
92,What was the name of Nicolas Cages character in the movie City of Angels?,celebrities,Seth,Steven,Nate,Nathaniel,Seth
93,Nicolas Cage won an Academy Award for his performance as a suicidal alcoholic in this movie.,celebrities,Leaving Las Vegas,Wild at Heart,8mm,Leaving Las Vegas,Adaptation
94,"The movie Captain Corellis Mandolin, starring Nicolas Cage, is set during which war?",celebrities,WWII,The Vietnam War,None of these,WWII,WWI
96,"What was the full name of Laurel, of the famous comedy duo, Laurel and Hardy?",celebrities,Arthur Stanley Jefferson,Stanley Arthur Jefferson,Wolliam Wendell Laurel,Arthur Stanley Jefferson,Arthur Stanley Laurel
97,"Which was the first movie in which Stan Laurel and Oliver Hardy both appeared in 1921, albeit not as a team?",celebrities,A Lucky Dog,A Lucky Dog,The Second Hundred Years,The Bohemians,The  Piano Movers
98,"What was the last movie famous comedy duo, Laurel and Hardy made together?",celebrities,Atoll K (aka Utopia),The Bohemians,Atoll K (aka Utopia),The Jerks at Sea,The Kentucky Gentlemen
99,"Which of these is not a name comedy duo Laurel and Hardy went by, in European countries?",celebrities,Da Schoene und da Huebsche,Dick und Dorf,Da Schoene und da Huebsche,El Gordo y El Flaco,Stallio and Ollio
100,Which of the two members of comedy team Laurel and Hardy won a Lifetime Achievement Academy Award from the Screen Actors Guild ?,celebrities,Laurel,Neither,Laurel,They won as a team,Hardy
101,"What was the cause of American actor, Oliver Hardys death on August 7, 1957?",celebrities,Stroke,Stroke,Tuberculosis,Cancer,Heart attack
102,"Which of comedy team, Laurel and Hardys films won an Oscar for Best Comedy Short Subject in 1932?",celebrities,The Music Box,The Music Box,The Tie Twiddler,The Bohemian Girl,Two Jerks at Sea
103,Which was the first movie in which actors Stan Laurel and Oliver Hardy officially appeared as a team?,celebrities,The Second Hundred Years (June 1927),The Second Hundred Years (June 1927),Babes in Toyland (1934),The Lucky Dog (1921),The Music Box (1932)
104,Who co-starred with Elvis in Flaming Star?,celebrities,Barbara Eden,Debra Paget,Juliet Prowse,Shelly Fabares,Barbara Eden
105,Which actress was Elviss love interest in Blue Hawaii?,celebrities,Joan Blackman,Joan Blackman,Judy Tyler,Debra Paget,Carolyn Jones
106,Loving You stars Elvis Presley and this actress.,celebrities,Dolores Hart,Diana Goodwin,Judy Tyler,Barbara Eden,Dolores Hart
107,"Elviss first film, Love Me Tender, stars what leading lady?",celebrities,Debra Paget,Dolores Hart,Judy Tyler,Dianna Goodwin,Debra Paget
108,Elviss girlfriend in Charro was played by this actress.,celebrities,Ina Balin,Carolyn Jones,Ina Balin,Barbara Eden,Dolores Hart
109,Stay Away Joe was a completely different image for Elvis.  Who starred with him in this film?,celebrities,Katy Jurado,Ann-Margret,Katy Jurado,Carolyn Jones,Shelly Fabares
110,"Of all the movie stars Elvis Presley worked with, she was the only one to attend his funeral.",celebrities,Ann-Margret,Juliet Prowse,Ann-Margret,Stella Stevens,Shelly Fabares
111,"Who did Elvis dance the Flamenco with, in movie Girls, Girls, Girls?",celebrities,Laura Goodwin,Laura Goodwin,Donna Douglas,Stella Stevens,Juliet Prowse
112,"What actress starts in Live A Little Love A Little,  alongside Elvis?",celebrities,Michele Cary,Nancy Sinatra,Connie Stevens,Michele Cary,Debra Paget
113,"There is more than one lady after Elviss attention in the move Fun In Acapulco, but only this one can be his Bosa Nova Baby.",celebrities,Elsa Cardenas,Elsa Cardenas,Ann-Margret,Joan Blackman,Ursula Andress
114,It Happened at the Worlds Fair (1963) stars Elvis and this beauty.,celebrities,Joan OBrien,Elsa Cardenas,Ursula Andress,Joan OBrien,Ann-Margret
115,"In the film,Wild in the Country, Elvis had to choose between three of these four leading ladies. Which actress did he pick?",celebrities,Tuesday Weld,Tuesday Weld,Millie Perkins,Hope Lange,Laura Goodwin
116,Which R  B songstress named her child Puma?,celebrities,Erykah Badu,Toni Braxton,Erykah Badu,Lauryn Hill,Mary J. Blige
117,Diezel is the child of which R  B songstress?,celebrities,Toni Braxton,Vanessa Williams,Toni Braxton,Brandy,Lauryn Hill
118,Kal-el is the child of which Oscar winning actor?,celebrities,Nicholas Cage,Dustin Hoffman,Nicholas Cage,Russell Crowe,Tom Hanks
119,This Oscar winning actress named her daughter Apple.,celebrities,Gwyneth Paltrow,Helen Hunt,Frances McDormand,Gwyneth Paltrow,Hilary Swank
120,This former supermodel named her child Sailor Lee.,celebrities,Christie Brinkley,Kathy Ireland,Rachel Hunter,Cheryl Tiegs,Christie Brinkley
121,Which television and movie actor has a child named Thyme?,celebrities,Isiah Washington,Patrick Dempsey,Kevin Bacon,Bruce Willis,Isiah Washington
122,This movie star named his child Reignbeau.,celebrities,Ving Rhames,Damon Wayans,Jamie Foxx,Ving Rhames,Samuel L. Jackson
123,Which Australian born actress named her child Banjo?,celebrities,Rachel Griffiths,Rachel Griffiths,Toni Collette,Naomi Watts,Nicole Kidman
124,Which comedian has a child named Moxie Crimefighter?,celebrities,Penn Jillette,Adam Carolla,Penn Jillette,Jason Alexander,Chris Kattan
125,Which musician has a son named Speck Wildhorse?,celebrities,John Mellancamp,Jon Bon Jovi,John Denver,John Mellancamp,Bono
126,"Which Aerosmith song are the following lyrics from: Sing with me, sing for the year, sing for the laughter, sing for tear..?",celebrities,Dream On,Walk This Way,I Dont Want To Miss A Thing,Dream On,Rag Doll
127,"Which is the missing word from the lyrics of the popular Aerosmith song I Dont Want To Miss A Thing: âI could stay awake, just to hear you _________â?",celebrities,Breathing,Sleeping,Blinking,Walking,Breathing
129,"What Aerosmith song are the following lyrics from: âGet ready for the big time, tap dancing on a land mineâ?",celebrities,Rag Doll,Rag Doll,Angel,Walk This Way,Cryin
130,"What is the missing word in these lyrics by Aerosmith: âI was _____ when I met you, now Im dying to forget youâ?",celebrities,Cryin,Angry,Crazy,Cryin,Sad
131,"What song by Aerosmith has the following lyrics: You talk about things that nobody cares, youâre wearing out things that nobody wears?",celebrities,Sweet Emotion,Dream On,Sweet Emotion,Amazing,Janies Got A Gun
133,"What Aerosmith song are the following lyrics from: That kind of lovin, sends a man, to his grave?",celebrities,Crazy,Cryin,Love In An Elavator,Crazy,Angel
134,What is the most popular nickname of TV talk show host Jay Leno?,celebrities,The Chin,The Boss,The Grandpa,The Wig,The Chin
135,Justin Timberlakes very curly blond hair has earned him this funny nickname.,celebrities,Curly Spice,Perm,Surly-Curly,Curly Spice,Noddle Hair
136,What was the reason Madonna was called Madge in Great Britain?,celebrities,It is short for Your Majesty,Because she mentions Joe DiMaggio in her song Vogue,It is just a pet name for Madonna,It is short for Your Majesty,Because she resembles Mary Magdalene
137,What is actress Courtney Coxs nickname that she was given by her family and friends as a child?,celebrities,CeCe,Tsetse,CeCe,Coxie,CoCo
138,"Reportedly president George W. Bush liked to call himself this, being a big fan of nicknames.",celebrities,The Decider,The Decider,The Big Brother,The Manager,The Big Bad Boss
139,Gwen Stefani has been called this nickname because of her smile and her signature platinum blond hair.,celebrities,Sunshine,Sunshine,Sunrise,Barbie,Marilyn
140,What female singer has been called Booty because of her impressive buttocks?,celebrities,Janet Jackson,Shakira,Beyonce,Jennifer Lopez,Janet Jackson
141,What nickname was given to actor Charlie Sheen which rhymes with his last name?,celebrities,Masheen,Teen,Spleen,Mean,Masheen
142,Aerosmiths lead singer Steven Tyler was called this nickname to refer to his powerful voice and signature vocalization.,celebrities,Demon of Screaming,Soundwave,The Deafening Monster,Demon of Screaming,Gigahertz
143,What American actor was given the ingenious nickname Italian Stallion?,celebrities,Sylvester Stallone,Robert De Niro,Leonardo DiCaprio,Sylvester Stallone,Ray Liotta
144,For which film did Frank Sinatra get his Oscar?,celebrities,From Here to Eternity,Suddenly,Kings go Forth,From Here to Eternity,Can-Can
145,Which film starring Frank Sinatra was based on the life of the comedian Joe E. Lewis?,celebrities,The Joker is Wild,The Tender Trap,Pal Joey,The Joker is Wild,Meet Danny Wilson
146,In which movie did Frank Sinatra make his starring debut?,celebrities,Higher and Higher,Higher and Higher,Take Me Out to the Ballgame,Miracle of the Bells,On the Town
147,Which of these movies stars both Doris Day and Frank Sinatra?,celebrities,Young at Heart,On the Town,The Tender Trap,Oceans 11,Young at Heart
148,Name the 1955 film in which Frank Sinatra co-starred with Debbie Reynolds and David Wayne.,celebrities,The Tender Trap,The Pride and the Passion,The Lady in Cement,The Tender Trap,The Devil at 4 OClock
149,Which of these is a Rat Pack film starring Frank Sinatra set in the Old West?,celebrities,Sergeants Three,Dirty Dingus McGee,Assult on a Queen,The Miracle of the Bells,Sergeants Three
150,Which western spoof co-starred George Kennedy and Frank Sinatra as an outlaw with a $10.00 (ten dollar) price on his head?,celebrities,Dirty Dingus McGee,Way Out West,Dirty Dingus McGee,Miracle of the Bells,Suddenly
151,In which film did Frank Sinatra play the owner of a naughty Parisian night spot?,celebrities,Can-Can,The French Twist,The Joker is Wild,I Remember Paris,Can-Can
152,Which 1966 Frank Sinatra films plot centred around a heist on an ocean liner?,celebrities,Assault on a Queen,War and Peace at Sea,Assault on a Queen,Oceans Eleven,The Cruise Ship Caper
153,"In which film did Frank Sinatra and Jules Munshin sing the emblematic theme song New York, New York?",celebrities,On the Town,In Old New York,On the Town,"New York, New York",Wonderful Town
154,In which Frank Sinatra film did Old Blue Eyes play Nathan Detroit?,celebrities,Guys and Dolls,On the Town,Can-Can,Guys and Dolls,"New York, New York"
155,"Which movie, for which Frank Sinatra was already cast, saw him pull out when he learned he would have to film each scene in two different technologies?",celebrities,Carousel,Carousel,My Fair Lady,Guys and Dolls,Oklahoma
156,When and where was Robert Duvall born?,celebrities,"January 5, 1931in SanDiego, California","January 5, 1931in SanDiego, California","January 5, 1951in Dumont, Texas","January 5, 1956 in Des Moines, Iowa","January 5, 1941in Annapolis, Maryland"
157,"Which statement is incorrect about Luciana Pedraza, Robert Duvalls fourth wife?",celebrities,"She was born in Verz Cruz, Mexico.",She is over 40 years younger than he is.,She was the writer and director of the movie Portrait of Billy Joe.,She and Robert are avid Tango dancers.,"She was born in Verz Cruz, Mexico."
158,Robert Duvall and his good friend Dustin Hoffman studied with the same famous acting  teacher. Who was he?,celebrities,Sanford Meisner,Sanford Meisner,Uta Hagen,Lee Strassberg,Tyrone Guthrie
159,Robert Duvalls acting teacher got him a part in the play The Midnight Caller. Who was the author of this play?,celebrities,Horton Foote,Tom Stoppard,Sanford Meisner,David Mamet,Horton Foote
161,For which of these movies did Robert Duvall win the Best Actor Oscar?,celebrities,Tender Mercies,The Godfather,The Apostle,Apocalypse Now,Tender Mercies
162,Robert Duvall is known to be aligned with which political party?,celebrities,The Republican Party,The Republican Party,The Green Party,The Libertarian Party,The Democratic Party
163,"In the Godfather movies, how many men did Robert Duvalls character personally kill?",celebrities,0,1,5,0,2
164,"In which movie does Robert Duvall not portray Lt. Col. Meacham, a fighter pilot?",celebrities,The Pilot,The Gift of Fury,The Ace,The Great Santini,The Pilot
165,To which famous American can Robert Duvall trace his lineage?,celebrities,Robert E. Lee,Robert E. Lee,U.S. Grant,George Washington,William T. Sherman
166,Which of these roles was not played by Robert Duvall?,celebrities,Kit Carson,Josef Stalin,James Earl Jones brother,Adolph Eichmann,Kit Carson
167,Which of these characters was not portrayed by Robert Duvall?,celebrities,Jimmy Carter,Joseph Pulitzer,Dwight D. Eisenhower,Robert E. Lee,Jimmy Carter
168,"The following lyrics are from a song by the Rolling Stones, released in 1971 as the first single of the album, Sticky Fingers.  Name the song.\n\nGold Coast slaveship bound for cotton fields\nSold in a market down in New Orleans\nScarred old slaver know hes doin alright\nHear him whip the women just around midnight",celebrities,Brown Sugar,Brown Sugar,Beast of Burden,Its only rock and roll,Rough Justice
170,"These are the opening lines of a song by The Rolling Stones, which first appeared as the opening track on the 1968 album, Beggars Banquet.  Guess the song.\n\nPlease allow me to introduce myself\nIm a man of wealth and taste\nIve been around for a long long year stolen many mans soul and faith\nI was around when Jesus Christ had His moment of doubt and pain",celebrities,Sympathy for the Devil,Harlem Shuffle,Jumpin Jack Flash,Get off My Cloud,Sympathy for the Devil
172,Which statement concerning Bernie Mac is true?,celebrities,"Bernie was born October 5 1958 in Chicago, Illinois.","Bernie was born October 5 1963 in Compton, California.","Bernie was born October 5 1958 in Chicago, Illinois.","Bernie was born October 5 1962 in Oakland, California.","Bernie was born October 5 1960 in Philadelphia, Pennsylvania."
173,In 1992  Bernie Mac made his film debut in this comedy about a con artist who gets a job at a credit card  company.,celebrities,MoMoney,MoMoney,Im Gonna Git You Sucka,Punchline,Blankman
174,"In 1993 Bernie Mac was in a movie about two totally inept barbers, starring Ice-T and Ed Lover.",celebrities,Whos the Man,Barber Shop,Friday,Above Heaven,Whos the Man
175,Bernie Mac tours with three other entertainers known as The Kings of Comedy. Which of the following is  not one of them?,celebrities,Chris Rock,Steve Harvey,Cedric the Entertainer,Chris Rock,D.L. Hughley
176,What was the name of the HBO special which Bernie Mac did in 1995 in Chicago?,celebrities,Midnight Mac,Mac Attack,Just Bernie,Midnight Mac,The Bernie Mac Hour
177,"Which 2003 movie, written and directed by Chris Rock, starred Bernie Mac as Chris Rocks brother?",celebrities,Head of State,Friday,Colors,Get on the Bus,Head of State
178,From which ailment is Bernie Mac known to suffer?,celebrities,Sarcoidosis,Type II Diabetes,Bucelosis,Sarcoidosis,Type I Diabetes
179,"In this 2004 movie, Bernie Mac portrayed a baseball player who had to return to the game to get his 3000th hit.",celebrities,Mr. 3000,Mr. 3000,The Last Season,Its All in the Game,Major League
180,"In Oceans 11and 12, Bernie Mac plays Frank Catton. What is his specialty in the movie?",celebrities,Infiltration,Infiltration,Weaponry,Gymnastics,Electronic
181,"In The Bernie Mac Show, Bernie is married to a beautiful woman portrayed by this actress.",celebrities,Kelita Smith,Jamie Suarez,Camille Winbush,Dee Dee Davis,Kelita Smith
182,"Harrison Ford was going to appear in this movie, but his scene was deleted in the final cut.",celebrities,E.T.,E.T.,Bull Durham,Poltergeist,Daddy Day Care
183,In this movie Harrison Ford plays a man on vacation who gets involved in a terrorist attack on the U.K.s Royal Family.,celebrities,Patriot Games,Patriotism,Patriot Games,Time of the Patriot,The Patriot
184,Harrison Ford made his first movie appearance in this 1966 movie.,celebrities,Dead Heat on a Marry Go-Round,Cold in the Park,A Cold Winter,Dead Heat on a Marry Go-Round,Heat of the Desert
186,When was Harrison Ford born?,celebrities,none of these,"July 14, 1942","July 14, 1941",none of these,"July 14, 1943"
188,Harrison Ford is an avid fan of this sport.,celebrities,Mixed Martial Arts,Mixed Martial Arts,Drag Racing,Badminton,Fishing
189,For which movie did Harrison Ford receive an Oscar Award nomination?,celebrities,Witness,Patriot Games,Witness,The Fugitive,all of these
190,When was Will Ferrell born?,celebrities,July 16 1967,August 5 1969,September 18 1965,July 16 1967,October 20 1970
192,How tall is actor Will Ferrell?,celebrities,6 3,65,6 3,60,510
196,In what movie did Will Ferrell play an auditor whose life was guided by his watch?,celebrities,Stranger Than Fiction,Melinda and Melinda,Stranger Than Fiction,Wedding Crashers,Old School
197,In what 2005 movie did Will Ferrell play a rocker who wore eyeliner?,celebrities,Winter Passing,Kicking  Screaming,The Wendell Baker Story,Bewitched,Winter Passing
199,For what movie did Meryl Streep win her first Academy Award for Best Actress?,celebrities,Sophies Choice,Sophies Choice,The Bridges of Madison County,Music of the Heart,Kramer vs. Kramer
